#SOHO-1436
#Discoverer: A. Kubczak
#Comet Group: kreutz
#Original Report: 2008-02-05 16:43:36
#    DATE     TIME    TEL    COL     ROW  
 2008-02-05 04:23:51 HI1A   904.20  294.70
 2008-02-05 05:03:51 HI1A   907.40  297.40
 2008-02-05 05:43:51 HI1A   912.90  301.60
 2008-02-05 06:23:51 HI1A   915.80  303.60
 2008-02-05 07:03:51 HI1A   920.70  307.00
 2008-02-05 07:43:51 HI1A   925.20  310.90
 2008-02-05 08:23:51 HI1A   930.30  315.30
 2008-02-05 09:03:51 HI1A   935.30  319.00
 2008-02-05 09:43:51 HI1A   940.30  323.10
 2008-02-05 10:23:51 HI1A   944.90  326.60
 2008-02-05 11:03:51 HI1A   949.60  330.10
 2008-02-05 11:43:51 HI1A   953.50  333.70
 2008-02-05 12:23:51 HI1A   960.40  338.60
 2008-02-05 13:03:51 HI1A   963.40  340.50
 2008-02-05 13:43:51 HI1A   968.50  344.60
 2008-02-05 14:23:51 HI1A   974.50  348.70
 2008-02-05 15:03:51 HI1A   977.50  352.10
 2008-02-05 15:43:51 HI1A   984.00  357.00
 2008-02-05 16:23:51 HI1A   988.90  360.80
 2008-02-05 17:03:51 HI1A   995.00  364.60
 2008-02-05 17:42:26  C3    236.44  318.62
 2008-02-05 17:43:51 HI1A   999.50  368.70
 2008-02-05 18:23:50 HI1A  1005.20  372.80
 2008-02-05 18:42:04  C3    245.44  326.75
 2008-02-05 19:03:51 HI1A  1011.50  377.50
 2008-02-05 19:18:04  C3    249.10  328.90
 2008-02-05 19:42:04  C3    254.08  333.58
 2008-02-05 19:43:51 HI1A  1016.10  381.20
 2008-02-05 20:18:04  C3    260.08  338.75
 2008-02-05 20:42:04  C3    263.75  341.42
 2008-02-05 21:18:26  C3    269.50  346.75
 2008-02-05 21:42:05  C3    274.17  349.92
 2008-02-05 22:18:04  C3    280.00  354.92
