#SOHO-1439
#Discoverer: J. Sachs
#Comet Group: kreutz
#Original Report: 2008-02-14 16:24:32
#    DATE     TIME    TEL    COL     ROW  
 2008-02-14 09:03:51 HI1A   893.17  220.75
 2008-02-14 10:23:51 HI1A   900.83  228.25
 2008-02-14 11:03:51 HI1A   904.58  230.50
 2008-02-14 11:43:51 HI1A   909.58  234.25
 2008-02-14 12:23:51 HI1A   913.50  238.33
 2008-02-14 13:03:51 HI1A   915.83  240.83
 2008-02-14 14:23:51 HI1A   925.50  248.17
 2008-02-14 15:03:51 HI1A   930.50  253.08
 2008-02-14 15:43:51 HI1A   933.08  254.50
 2008-02-14 16:23:51 HI1A   937.83  258.42
 2008-02-14 17:03:51 HI1A   942.17  262.17
 2008-02-14 17:43:51 HI1A   946.75  266.17
 2008-02-14 18:23:51 HI1A   950.58  269.33
 2008-02-14 19:03:51 HI1A   955.62  273.38
 2008-02-14 19:42:04  C3    148.55  196.55
 2008-02-14 19:43:51 HI1A   959.38  276.88
 2008-02-14 20:18:45  C3    155.00  199.45
 2008-02-14 20:23:51 HI1A   963.62  280.50
 2008-02-14 20:42:04  C3    158.30  202.45
 2008-02-14 21:03:51 HI1A   968.25  284.38
 2008-02-14 21:18:15  C3    163.20  206.45
 2008-02-14 21:43:51 HI1A   972.25  288.12
 2008-02-14 22:23:51 HI1A   976.62  292.12
 2008-02-14 23:03:51 HI1A   981.00  295.12
 2008-02-14 23:43:51 HI1A   986.00  299.62
 2008-02-15 00:23:51 HI1A   990.50  303.50
 2008-02-15 01:03:51 HI1A   995.25  307.00
 2008-02-15 01:42:05  C3    201.70  240.70
 2008-02-15 01:43:51 HI1A   999.88  311.50
 2008-02-15 02:23:51 HI1A  1005.12  315.75
 2008-02-15 02:42:04  C3    210.25  248.40
 2008-02-15 03:03:51 HI1A  1009.50  319.62
 2008-02-15 03:18:04  C3    216.30  253.35
 2008-02-15 03:42:04  C3    219.45  256.35
 2008-02-15 03:43:51 HI1A  1014.38  323.88
 2008-02-15 04:18:04  C3    225.35  261.25
 2008-02-15 04:42:04  C3    228.85  264.25
 2008-02-15 05:18:27  C3    234.55  269.20
 2008-02-15 05:42:04  C3    238.05  272.25
 2008-02-15 09:42:04  C3    277.25  306.00
 2008-02-15 10:19:57  C3    282.90  311.45
 2008-02-15 10:42:05  C3    287.15  314.85
 2008-02-15 11:18:04  C3    293.20  319.65
 2008-02-15 11:42:04  C3    297.30  323.75
 2008-02-15 12:18:04  C3    303.65  329.05
 2008-02-15 12:42:04  C3    308.00  332.95
 2008-02-15 21:30:07  C2    104.30  222.20
 2008-02-15 21:54:06  C2    134.65  247.20
 2008-02-15 22:31:36  C2    184.85  285.75
