#SOHO-1441
#Discoverer: H. Su
#Comet Group: kreutz
#Original Report: 2008-02-18 22:45:10
#    DATE     TIME    TEL    COL     ROW  
 2008-02-18 14:23:51 HI1A   993.67  324.25
 2008-02-18 15:03:51 HI1A   999.25  329.75
 2008-02-18 15:43:51 HI1A  1004.25  335.17
 2008-02-18 16:23:51 HI1A  1008.58  338.33
 2008-02-18 17:03:51 HI1A  1013.42  342.33
 2008-02-18 17:43:51 HI1A  1017.58  346.42
 2008-02-19 00:42:05  C3    291.50  339.50
 2008-02-19 01:42:04  C3    302.42  348.33
 2008-02-19 02:18:05  C3    309.17  353.00
 2008-02-19 02:42:04  C3    313.50  357.50
 2008-02-19 03:18:04  C3    320.50  362.42
 2008-02-19 03:42:04  C3    325.67  366.67
 2008-02-19 04:18:04  C3    333.42  372.00
 2008-02-19 04:42:04  C3    337.75  375.92
 2008-02-19 05:18:04  C3    345.50  381.58
 2008-02-19 05:42:04  C3    351.33  385.50
 2008-02-19 06:18:04  C3    359.62  391.44
