#SOHO-1608
#Discoverer: R. Matson
#Comet Group: kreutz
#Original Report: 2009-02-04 02:01:23
#    DATE     TIME    TEL    COL     ROW  
 2009-02-04 05:42:03  C3    106.45  211.40
 2009-02-04 06:18:03  C3    110.55  215.45
 2009-02-04 06:42:03  C3    113.45  217.55
 2009-02-04 07:42:03  C3    121.70  224.75
 2009-02-04 08:18:04  C3    126.45  228.50
 2009-02-04 14:22:53 COR2B  684.95   90.05
 2009-02-04 14:42:03  C3    178.65  273.10
 2009-02-04 15:18:03  C3    184.05  277.45
 2009-02-04 15:22:53 COR2B  684.85  119.40
 2009-02-04 16:52:53 COR2B  685.15  164.15
 2009-02-04 17:22:53 COR2B  685.30  178.95
 2009-02-04 18:22:53 COR2B  686.25  209.10
 2009-02-04 18:52:53 COR2B  686.25  224.75
 2009-02-04 19:22:53 COR2B  686.60  239.45
 2009-02-04 19:52:53 COR2B  687.25  255.10
 2009-02-04 20:18:03  C3    227.95  314.00
 2009-02-04 20:42:03  C3    231.95  317.00
 2009-02-04 20:52:53 COR2B  688.55  286.55
 2009-02-04 21:18:18  C3    236.85  321.10
 2009-02-04 21:22:53 COR2B  689.10  301.90
 2009-02-04 21:42:03  C3    240.70  324.40
 2009-02-04 22:22:53 COR2B  691.00  333.65
 2009-02-04 22:52:53 COR2B  692.20  350.10
 2009-02-04 23:18:11  C3    256.10  337.00
 2009-02-04 23:42:03  C3    260.10  339.95
 2009-02-05 01:22:33 COR2A  197.75  468.65
 2009-02-05 01:22:53 COR2B  698.80  432.35
 2009-02-05 01:52:33 COR2A  219.60  483.40
 2009-02-05 01:52:53 COR2B  700.60  449.50
 2009-02-05 02:22:33 COR2A  241.95  499.30
 2009-02-05 02:22:53 COR2B  702.55  466.40
 2009-02-05 02:52:33 COR2A  264.55  514.75
 2009-02-05 03:22:33 COR2A  286.95  530.15
 2009-02-05 03:52:33 COR2A  309.45  546.05
 2009-02-05 03:52:53 COR2B  709.25  518.50
 2009-02-05 04:22:33 COR2A  332.80  561.95
 2009-02-05 04:22:53 COR2B  711.35  536.50
 2009-02-05 04:52:33 COR2A  356.20  578.15
 2009-02-05 04:52:53 COR2B  713.75  554.55
 2009-02-05 05:22:33 COR2A  380.45  594.95
 2009-02-05 05:22:53 COR2B  716.45  572.80
 2009-02-05 05:52:33 COR2A  404.70  611.80
 2009-02-05 05:52:53 COR2B  718.95  590.35
 2009-02-05 06:22:33 COR2A  429.95  629.15
 2009-02-05 06:52:33 COR2A  454.90  646.65
 2009-02-05 06:52:53 COR2B  726.85  629.55
 2009-02-05 07:22:33 COR2A  480.90  664.55
 2009-02-05 07:22:53 COR2B  730.55  648.90
 2009-02-05 07:52:33 COR2A  507.15  682.35
 2009-02-05 07:52:53 COR2B  734.95  668.90
 2009-02-05 08:22:33 COR2A  533.70  700.65
 2009-02-05 08:22:53 COR2B  739.70  688.90
 2009-02-05 08:52:33 COR2A  561.65  720.00
 2009-02-05 08:52:53 COR2B  744.60  709.95
 2009-02-05 09:18:03  C3    368.45  422.30
 2009-02-05 09:22:33 COR2A  590.20  739.50
 2009-02-05 09:22:53 COR2B  749.80  730.35
 2009-02-05 09:42:03  C3    374.00  426.40
 2009-02-05 09:52:33 COR2A  619.30  759.75
 2009-02-05 09:52:53 COR2B  756.25  752.10
 2009-02-05 10:22:33 COR2A  649.15  780.15
 2009-02-05 10:22:53 COR2B  762.90  773.80
 2009-02-05 10:42:03  C3    389.10  436.75
 2009-02-05 10:52:33 COR2A  679.35  800.60
 2009-02-05 10:52:53 COR2B  770.10  796.20
 2009-02-05 11:18:03  C3    398.45  443.40
 2009-02-05 11:22:33 COR2A  710.35  822.20
 2009-02-05 11:22:53 COR2B  778.50  819.65
 2009-02-05 11:30:03  C2     18.45  308.90
 2009-02-05 11:52:33 COR2A  745.65  846.55
 2009-02-05 11:52:53 COR2B  787.85  843.60
 2009-02-05 11:54:16  C2     51.00  329.95
 2009-02-05 12:22:53 COR2B  799.40  869.05
