#SOHO-1613
#Discoverer: T. Hoffman
#Comet Group: kreutz
#Original Report: 2009-02-21 21:54:30
#    DATE     TIME    TEL    COL     ROW  
 2009-02-21 22:38:01  C3     74.50  242.85
 2009-02-21 23:18:05  C3     80.07  247.20
 2009-02-21 23:42:03  C3     83.73  249.80
 2009-02-22 00:18:04  C3     89.00  254.07
 2009-02-22 00:42:03  C3     92.33  256.33
 2009-02-22 01:42:03  C3    101.53  262.80
 2009-02-22 02:42:03  C3    110.60  269.80
 2009-02-22 03:18:03  C3    115.93  273.33
 2009-02-22 03:42:03  C3    119.33  276.47
 2009-02-22 04:18:03  C3    124.60  280.20
 2009-02-22 05:18:10  C3    134.40  287.33
 2009-02-22 05:42:03  C3    137.73  289.73
 2009-02-22 06:42:03  C3    147.40  296.40
 2009-02-22 08:18:03  C3    161.73  307.07
 2009-02-22 08:42:03  C3    165.80  310.00
 2009-02-22 09:18:03  C3    171.40  314.13
 2009-02-22 09:42:03  C3    175.47  317.13
 2009-02-22 10:23:37  C3    182.53  322.27
 2009-02-22 10:44:16  C3    186.33  325.07
 2009-02-22 11:18:05  C3    191.27  328.53
 2009-02-22 11:42:03  C3    195.20  331.20
 2009-02-22 12:18:03  C3    201.00  335.70
 2009-02-22 12:42:03  C3    204.90  338.30
 2009-02-22 13:42:03  C3    215.10  345.90
 2009-02-22 14:42:05  C3    225.30  353.10
 2009-02-22 14:52:51 COR2B  340.35  279.70
 2009-02-22 15:18:03  C3    231.30  357.30
 2009-02-22 15:42:03  C3    235.20  360.10
 2009-02-22 15:52:51 COR2B  355.95  310.95
 2009-02-22 16:18:03  C3    241.80  364.70
 2009-02-22 16:22:51 COR2B  363.60  326.70
 2009-02-22 16:42:03  C3    245.90  367.70
 2009-02-22 16:52:33 COR2A  252.30  397.85
 2009-02-22 17:18:03  C3    252.10  372.20
 2009-02-22 17:22:33 COR2A  270.25  411.35
 2009-02-22 17:22:51 COR2B  379.65  357.95
 2009-02-22 17:52:33 COR2A  288.55  424.70
 2009-02-22 17:52:51 COR2B  388.45  373.75
 2009-02-22 18:22:33 COR2A  307.10  438.45
 2009-02-22 18:42:03  C3    267.30  382.90
 2009-02-22 18:52:33 COR2A  325.50  452.45
 2009-02-22 18:52:51 COR2B  405.10  406.05
 2009-02-22 19:18:04  C3    273.90  387.40
 2009-02-22 19:22:33 COR2A  344.50  466.25
 2009-02-22 19:22:51 COR2B  414.30  422.40
 2009-02-22 19:42:04  C3    278.00  390.60
 2009-02-22 19:52:33 COR2A  363.55  480.50
 2009-02-22 19:52:51 COR2B  423.05  438.50
 2009-02-22 20:18:03  C3    284.80  395.20
 2009-02-22 20:22:33 COR2A  382.55  494.75
 2009-02-22 20:22:51 COR2B  432.25  455.20
 2009-02-22 20:42:03  C3    289.60  398.50
 2009-02-22 20:52:33 COR2A  401.85  509.60
 2009-02-22 20:52:51 COR2B  441.30  471.85
 2009-02-22 21:18:24  C3    296.40  403.10
 2009-02-22 21:22:51 COR2B  451.10  489.00
 2009-02-22 21:52:33 COR2A  441.80  539.10
 2009-02-22 21:52:51 COR2B  461.00  506.00
 2009-02-22 22:18:03  C3    308.30  411.50
 2009-02-22 22:22:33 COR2A  461.75  554.50
 2009-02-22 22:22:51 COR2B  470.80  523.15
 2009-02-22 22:52:33 COR2A  482.20  569.90
 2009-02-22 23:18:11  C3    320.30  419.80
 2009-02-22 23:52:33 COR2A  524.10  601.10
 2009-02-23 00:18:03  C3    332.90  428.40
 2009-02-23 00:22:33 COR2A  545.45  617.40
 2009-02-23 00:22:51 COR2B  513.90  594.30
 2009-02-23 00:42:04  C3    338.00  432.00
 2009-02-23 00:52:33 COR2A  567.10  634.00
 2009-02-23 01:22:33 COR2A  589.10  650.75
 2009-02-23 01:42:04  C3    351.10  440.80
 2009-02-23 01:52:33 COR2A  611.25  667.65
 2009-02-23 02:18:03  C3    359.00  446.40
 2009-02-23 02:22:33 COR2A  634.45  685.50
 2009-02-23 02:22:51 COR2B  563.05  670.15
 2009-02-23 02:42:05  C3    364.60  449.90
 2009-02-23 02:52:33 COR2A  658.15  703.70
 2009-02-23 03:22:33 COR2A  681.30  721.55
 2009-02-23 03:22:51 COR2B  590.10  709.70
 2009-02-23 03:42:03  C3    379.10  459.70
 2009-02-23 03:52:33 COR2A  705.35  740.25
 2009-02-23 04:18:03  C3    387.90  465.60
 2009-02-23 04:22:33 COR2A  731.05  759.40
 2009-02-23 04:42:03  C3    394.30  469.50
 2009-02-23 04:52:33 COR2A  756.25  779.40
 2009-02-23 05:22:33 COR2A  782.00  799.70
 2009-02-23 05:22:51 COR2B  652.55  793.85
 2009-02-23 05:52:33 COR2A  808.10  820.45
 2009-02-23 05:54:03  C2     13.25  274.55
 2009-02-23 06:06:04  C2     29.60  284.70
 2009-02-23 06:22:33 COR2A  835.05  841.45
 2009-02-23 06:30:03  C2     62.55  305.50
 2009-02-23 06:52:33 COR2A  862.00  862.90
 2009-02-23 06:54:03  C2     97.35  326.70
 2009-02-23 07:22:51 COR2B  734.20  888.30
 2009-02-23 07:31:39  C2    154.70  361.40
 2009-02-23 07:54:05  C2    192.65  384.05
 2009-02-23 08:06:03  C2    212.85  395.75
 2009-02-23 08:22:51 COR2B  789.85  941.80
 2009-02-23 08:30:27  C2    257.50  421.45
 2009-02-23 08:54:03  C2    304.10  447.95
