#SOHO-2018
#Discoverer: M. Kusiak
#Comet Group: kreutz
#Original Report: 2011-02-01 07:51:45
#    DATE     TIME    TEL    COL     ROW  
 2011-02-01 09:54:05  C3    191.38  286.25
 2011-02-01 10:18:05  C3    194.62  289.00
 2011-02-01 10:42:05  C3    197.38  292.00
 2011-02-01 11:06:05  C3    200.50  294.88
 2011-02-01 11:30:06  C3    203.62  298.25
 2011-02-01 11:54:05  C3    207.00  301.38
 2011-02-01 12:18:06  C3    210.38  304.38
 2011-02-01 12:42:05  C3    213.50  307.50
 2011-02-01 13:30:20  C3    219.38  313.25
 2011-02-01 13:54:06  C3    222.25  316.25
 2011-02-01 14:18:05  C3    225.38  319.38
 2011-02-01 14:42:05  C3    228.50  322.38
 2011-02-01 14:54:37 COR2B 1689.50  250.31
 2011-02-01 15:18:06  C3    233.50  327.12
 2011-02-01 15:24:37 COR2B 1674.25  264.12
 2011-02-01 15:39:37 COR2B 1666.38  271.81
 2011-02-01 15:54:05  C3    238.25  331.50
 2011-02-01 15:54:37 COR2B 1659.19  278.62
 2011-02-01 16:18:05  C3    241.62  334.50
 2011-02-01 16:24:37 COR2B 1643.31  293.06
 2011-02-01 16:39:37 COR2B 1635.38  300.88
 2011-02-01 16:42:05  C3    244.50  338.25
 2011-02-01 16:54:37 COR2B 1629.12  306.25
 2011-02-01 17:06:08  C3    248.50  341.38
 2011-02-01 17:24:37 COR2B 1612.94  321.06
 2011-02-01 17:30:05  C3    251.50  344.50
 2011-02-01 17:39:37 COR2B 1605.56  328.31
 2011-02-01 17:54:05  C3    254.50  347.38
 2011-02-01 17:54:37 COR2B 1597.94  335.31
 2011-02-01 18:24:00 COR2A  483.42  391.08
 2011-02-01 18:24:37 COR2B 1581.94  350.12
 2011-02-01 18:30:06  C3    259.62  352.38
 2011-02-01 18:39:00 COR2A  490.58  397.17
 2011-02-01 18:39:37 COR2B 1574.81  357.00
 2011-02-01 18:54:00 COR2A  497.33  402.83
 2011-02-01 18:54:05  C3    263.50  355.25
 2011-02-01 18:54:37 COR2B 1566.88  364.56
 2011-02-01 19:18:06  C3    266.50  358.38
 2011-02-01 19:24:00 COR2A  510.83  415.75
 2011-02-01 19:24:37 COR2B 1550.56  379.12
 2011-02-01 19:39:00 COR2A  517.58  421.42
 2011-02-01 19:39:37 COR2B 1544.25  385.62
 2011-02-01 19:42:05  C3    270.38  362.38
 2011-02-01 19:54:00 COR2A  524.75  427.67
 2011-02-01 19:54:37 COR2B 1536.81  393.69
 2011-02-01 20:06:05  C3    273.50  365.38
 2011-02-01 20:24:00 COR2A  539.42  441.33
 2011-02-01 20:24:37 COR2B 1520.44  408.38
 2011-02-01 20:30:05  C3    277.25  368.38
 2011-02-01 20:39:00 COR2A  546.75  448.17
 2011-02-01 20:39:37 COR2B 1511.62  416.62
 2011-02-01 20:54:00 COR2A  555.08  455.08
 2011-02-01 20:54:37 COR2B 1502.81  425.31
 2011-02-01 21:11:33  C3    283.25  374.25
 2011-02-01 21:24:00 COR2A  569.17  468.33
 2011-02-01 21:24:37 COR2B 1487.25  440.25
 2011-02-01 21:39:00 COR2A  576.33  474.58
 2011-02-01 21:39:37 COR2B 1480.50  446.50
 2011-02-01 21:42:06  C3    287.62  378.38
 2011-02-01 21:54:00 COR2A  583.75  481.42
 2011-02-01 21:54:37 COR2B 1472.50  453.69
 2011-02-01 22:06:05  C3    291.00  381.12
 2011-02-01 22:24:00 COR2A  598.92  495.42
 2011-02-01 22:24:37 COR2B 1456.75  468.50
 2011-02-01 22:39:00 COR2A  605.75  501.83
 2011-02-01 22:39:37 COR2B 1448.38  476.81
 2011-02-01 22:54:00 COR2A  614.17  509.67
 2011-02-01 22:54:37 COR2B 1437.69  487.62
 2011-02-01 23:18:13  C3    302.50  391.88
 2011-02-01 23:24:00 COR2A  629.33  524.42
 2011-02-01 23:24:37 COR2B 1423.50  501.19
 2011-02-01 23:39:00 COR2A  636.42  530.42
 2011-02-01 23:39:37 COR2B 1415.38  508.94
 2011-02-01 23:42:05  C3    306.25  395.38
 2011-02-01 23:54:00 COR2A  644.50  537.00
 2011-02-01 23:54:37 COR2B 1406.38  518.44
 2011-02-02 00:18:05  C3    312.25  400.12
 2011-02-02 00:24:00 COR2A  660.25  552.75
 2011-02-02 00:24:37 COR2B 1390.00  533.19
 2011-02-02 00:39:00 COR2A  667.17  559.08
 2011-02-02 00:39:37 COR2B 1381.31  542.50
 2011-02-02 00:42:05  C3    316.50  404.38
 2011-02-02 00:54:00 COR2A  675.92  567.67
 2011-02-02 00:54:37 COR2B 1372.75  550.31
 2011-02-02 01:24:00 COR2A  691.25  582.33
 2011-02-02 01:24:37 COR2B 1356.62  566.00
 2011-02-02 01:39:00 COR2A  699.67  591.08
 2011-02-02 01:42:05  C3    326.25  412.88
 2011-02-02 01:54:00 COR2A  707.92  597.83
 2011-02-02 01:54:37 COR2B 1339.10  584.30
 2011-02-02 02:06:05  C3    330.25  416.25
 2011-02-02 02:24:00 COR2A  724.33  612.75
 2011-02-02 02:24:37 COR2B 1322.70  599.50
 2011-02-02 02:39:00 COR2A  731.75  619.83
 2011-02-02 02:39:37 COR2B 1313.30  609.70
 2011-02-02 02:42:05  C3    336.50  422.38
 2011-02-02 02:54:00 COR2A  740.00  629.25
 2011-02-02 02:54:37 COR2B 1305.00  617.70
 2011-02-02 03:18:05  C3    342.75  427.25
 2011-02-02 03:24:00 COR2A  756.75  644.33
 2011-02-02 03:24:37 COR2B 1286.70  637.30
 2011-02-02 03:39:00 COR2A  765.08  653.17
 2011-02-02 03:54:00 COR2A  773.25  660.75
 2011-02-02 03:54:06  C3    349.38  433.25
 2011-02-02 04:18:05  C3    353.88  437.38
 2011-02-02 04:24:00 COR2A  789.50  675.58
 2011-02-02 04:39:00 COR2A  798.75  685.08
 2011-02-02 04:54:00 COR2A  807.00  693.67
 2011-02-02 04:54:05  C3    361.12  443.12
 2011-02-02 05:18:05  C3    365.38  446.12
 2011-02-02 05:39:00 COR2A  832.83  719.25
 2011-02-02 05:54:00 COR2A  842.83  730.00
 2011-02-02 05:54:05  C3    372.38  452.50
 2011-02-02 06:18:05  C3    377.88  456.88
 2011-02-02 06:24:00 COR2A  859.08  745.17
 2011-02-02 06:42:05  C3    383.25  461.38
 2011-02-02 07:06:05  C3    387.62  465.12
 2011-02-02 07:18:05  C3    390.60  467.10
 2011-02-02 07:30:05  C3    393.40  469.30
 2011-02-02 07:42:06  C3    396.50  471.40
 2011-02-02 07:54:06  C3    398.50  473.20
 2011-02-02 08:06:05  C3    400.70  475.40
 2011-02-02 08:18:05  C3    403.80  477.40
