#SOHO-2025
#Discoverer: M. Uchina
#Comet Group: kreutz
#Original Report: 2011-02-21 23:21:05
#    DATE     TIME    TEL    COL     ROW  
 2011-02-22 03:54:05  C3    105.35  252.20
 2011-02-22 04:18:07  C3    109.25  254.55
 2011-02-22 04:24:00 COR2A  663.47   81.53
 2011-02-22 04:39:00 COR2A  666.73   86.67
 2011-02-22 04:42:05  C3    112.60  257.30
 2011-02-22 04:54:00 COR2A  670.60   91.47
 2011-02-22 05:06:07  C3    115.95  260.00
 2011-02-22 05:24:00 COR2A  677.60  101.47
 2011-02-22 05:30:06  C3    120.05  263.15
 2011-02-22 05:39:00 COR2A  681.67  106.60
 2011-02-22 05:54:00 COR2A  685.53  111.53
 2011-02-22 06:06:06  C3    124.80  266.85
 2011-02-22 06:24:00 COR2A  692.93  121.67
 2011-02-22 06:39:00 COR2A  696.53  126.60
 2011-02-22 06:42:06  C3    129.90  270.85
 2011-02-22 06:54:00 COR2A  700.47  131.40
 2011-02-22 07:18:06  C3    135.40  275.55
 2011-02-22 07:24:00 COR2A  708.20  141.87
 2011-02-22 07:39:00 COR2A  711.60  146.53
 2011-02-22 07:54:00 COR2A  715.73  151.93
 2011-02-22 07:54:07  C3    140.85  279.30
 2011-02-22 08:24:00 COR2A  723.27  162.40
 2011-02-22 08:30:06  C3    146.30  283.70
 2011-02-22 08:39:00 COR2A  727.00  167.20
 2011-02-22 08:54:00 COR2A  730.80  172.67
 2011-02-22 09:18:05  C3    153.30  289.15
 2011-02-22 09:24:00 COR2A  738.40  183.27
 2011-02-22 09:39:00 COR2A  742.07  188.13
 2011-02-22 09:53:59 COR2A  745.80  193.60
 2011-02-22 09:54:05  C3    158.85  293.50
 2011-02-22 10:24:00 COR2A  753.60  204.27
 2011-02-22 10:24:31 COR2B 1360.87   89.07
 2011-02-22 10:30:06  C3    164.90  297.55
 2011-02-22 10:39:00 COR2A  757.33  209.47
 2011-02-22 10:39:31 COR2B 1356.00   96.73
 2011-02-22 10:54:00 COR2A  761.40  214.87
 2011-02-22 10:54:31 COR2B 1351.20  103.80
 2011-02-22 11:06:05  C3    169.75  301.80
 2011-02-22 11:24:00 COR2A  769.07  225.53
 2011-02-22 11:24:31 COR2B 1341.60  118.13
 2011-02-22 11:30:05  C3    173.80  304.75
 2011-02-22 11:39:00 COR2A  772.73  230.93
 2011-02-22 11:39:31 COR2B 1336.87  125.07
 2011-02-22 11:54:00 COR2A  776.73  236.33
 2011-02-22 11:54:31 COR2B 1332.00  132.00
 2011-02-22 12:06:06  C3    178.95  308.80
 2011-02-22 12:24:00 COR2A  784.60  247.33
 2011-02-22 12:24:31 COR2B 1322.33  146.07
 2011-02-22 12:39:00 COR2A  788.60  252.93
 2011-02-22 12:42:07  C3    185.00  313.50
 2011-02-22 12:54:00 COR2A  792.40  258.27
 2011-02-22 12:54:31 COR2B 1312.40  161.13
 2011-02-22 13:24:00 COR2A  800.20  269.33
 2011-02-22 13:24:31 COR2B 1302.47  175.60
 2011-02-22 13:30:21  C3    192.50  318.85
 2011-02-22 13:39:00 COR2A  804.33  275.13
 2011-02-22 13:39:31 COR2B 1297.87  183.07
 2011-02-22 13:54:00 COR2A  808.13  280.87
 2011-02-22 13:54:31 COR2B 1292.67  190.73
 2011-02-22 14:06:06  C3    197.75  323.40
 2011-02-22 14:24:00 COR2A  815.93  292.60
 2011-02-22 14:24:31 COR2B 1283.60  204.67
 2011-02-22 14:39:00 COR2A  819.87  298.07
 2011-02-22 14:39:31 COR2B 1278.53  212.00
 2011-02-22 14:42:06  C3    203.95  328.15
 2011-02-22 14:54:00 COR2A  824.07  304.00
 2011-02-22 14:54:31 COR2B 1273.40  219.47
 2011-02-22 15:24:00 COR2A  831.67  315.13
 2011-02-22 15:24:31 COR2B 1263.87  234.27
 2011-02-22 15:30:06  C3    211.75  333.90
 2011-02-22 15:39:00 COR2A  835.87  320.87
 2011-02-22 15:39:31 COR2B 1258.87  241.87
 2011-02-22 15:54:00 COR2A  839.73  326.87
 2011-02-22 15:54:31 COR2B 1254.40  249.60
 2011-02-22 16:06:07  C3    217.30  337.85
 2011-02-22 16:24:00 COR2A  847.80  339.27
 2011-02-22 16:24:31 COR2B 1244.53  263.87
 2011-02-22 16:39:00 COR2A  851.87  344.80
 2011-02-22 16:39:31 COR2B 1239.60  271.67
 2011-02-22 16:42:05  C3    223.40  342.65
 2011-02-22 16:54:00 COR2A  855.80  350.93
 2011-02-22 16:54:31 COR2B 1234.73  279.53
 2011-02-22 17:18:07  C3    229.60  347.20
 2011-02-22 17:24:00 COR2A  863.93  362.87
 2011-02-22 17:39:00 COR2A  867.73  369.07
 2011-02-22 17:39:31 COR2B 1220.13  301.73
 2011-02-22 17:54:00 COR2A  872.13  375.60
 2011-02-22 17:54:06  C3    235.30  351.90
 2011-02-22 17:54:31 COR2B 1215.40  309.60
 2011-02-22 18:24:00 COR2A  880.27  387.53
 2011-02-22 18:24:31 COR2B 1205.73  324.93
 2011-02-22 18:30:05  C3    241.50  356.60
 2011-02-22 18:39:00 COR2A  884.13  394.07
 2011-02-22 18:39:31 COR2B 1200.93  332.87
 2011-02-22 18:54:00 COR2A  888.20  399.93
 2011-02-22 18:54:31 COR2B 1196.07  340.33
 2011-02-22 19:06:05  C3    247.55  360.80
 2011-02-22 19:24:00 COR2A  896.27  412.67
 2011-02-22 19:24:31 COR2B 1186.53  356.00
 2011-02-22 19:39:00 COR2A  900.60  419.20
 2011-02-22 19:39:31 COR2B 1181.47  364.20
 2011-02-22 19:42:05  C3    254.25  365.60
 2011-02-22 19:54:00 COR2A  904.67  425.47
 2011-02-22 19:54:31 COR2B 1176.60  371.40
 2011-02-22 20:06:06  C3    258.45  368.90
 2011-02-22 20:24:00 COR2A  912.67  438.33
 2011-02-22 20:24:31 COR2B 1166.93  387.73
 2011-02-22 20:39:00 COR2A  916.80  444.93
 2011-02-22 20:39:31 COR2B 1161.87  396.13
 2011-02-22 20:42:06  C3    264.85  374.15
 2011-02-22 20:54:00 COR2A  921.00  451.73
 2011-02-22 21:24:00 COR2A  929.33  464.73
 2011-02-22 21:24:31 COR2B 1147.27  420.27
 2011-02-22 21:30:05  C3    273.15  379.90
 2011-02-22 21:39:00 COR2A  933.60  471.47
 2011-02-22 21:39:31 COR2B 1142.87  427.80
 2011-02-22 21:54:00 COR2A  937.67  477.67
 2011-02-22 21:54:31 COR2B 1137.80  436.60
 2011-02-22 22:06:06  C3    279.75  385.05
 2011-02-22 22:24:00 COR2A  946.13  491.67
 2011-02-22 22:24:31 COR2B 1128.40  452.27
 2011-02-22 22:39:00 COR2A  950.40  499.13
 2011-02-22 22:39:31 COR2B 1123.33  461.00
 2011-02-22 22:54:00 COR2A  954.53  505.67
 2011-02-22 22:54:31 COR2B 1118.33  469.27
 2011-02-22 23:18:14  C3    293.85  395.10
 2011-02-22 23:24:00 COR2A  962.60  519.60
 2011-02-22 23:24:31 COR2B 1108.93  485.87
 2011-02-22 23:39:00 COR2A  967.00  526.87
 2011-02-22 23:39:31 COR2B 1104.07  493.93
 2011-02-22 23:54:00 COR2A  971.40  534.00
 2011-02-22 23:54:05  C3    299.55  399.50
 2011-02-22 23:54:31 COR2B 1099.13  502.73
 2011-02-23 00:24:00 COR2A  979.80  548.40
 2011-02-23 00:24:31 COR2B 1089.47  519.53
 2011-02-23 00:30:06  C3    306.70  404.90
 2011-02-23 00:39:00 COR2A  983.93  555.27
 2011-02-23 00:39:31 COR2B 1084.47  528.87
 2011-02-23 00:54:00 COR2A  988.33  563.13
 2011-02-23 00:54:31 COR2B 1080.07  537.13
 2011-02-23 01:24:00 COR2A  996.80  578.00
 2011-02-23 01:30:18  C3    318.75  413.00
 2011-02-23 01:39:00 COR2A 1000.93  585.07
 2011-02-23 01:39:31 COR2B 1065.87  562.73
 2011-02-23 01:54:00 COR2A 1005.20  592.80
 2011-02-23 02:06:06  C3    325.55  418.40
 2011-02-23 02:24:00 COR2A 1013.93  608.53
 2011-02-23 02:39:00 COR2A 1018.00  616.20
 2011-02-23 02:39:31 COR2B 1046.33  598.13
 2011-02-23 02:42:07  C3    333.20  424.00
 2011-02-23 02:54:00 COR2A 1022.00  623.93
 2011-02-23 02:54:31 COR2B 1042.20  607.00
 2011-02-23 03:06:05  C3    338.75  427.95
 2011-02-23 03:24:00 COR2A 1030.93  640.73
 2011-02-23 03:39:00 COR2A 1035.00  648.20
 2011-02-23 03:42:05  C3    346.20  433.10
 2011-02-23 03:54:00 COR2A 1039.47  656.80
 2011-02-23 04:18:05  C3    353.95  438.80
 2011-02-23 04:24:00 COR2A 1047.93  673.07
 2011-02-23 04:39:00 COR2A 1052.33  681.73
 2011-02-23 04:54:00 COR2A 1056.60  690.73
 2011-02-23 04:54:05  C3    362.10  444.90
 2011-02-23 05:18:05  C3    367.55  448.25
 2011-02-23 05:24:00 COR2A 1065.07  707.93
 2011-02-23 05:39:00 COR2A 1069.60  717.00
 2011-02-23 05:54:00 COR2A 1073.53  726.00
 2011-02-23 05:54:05  C3    376.15  454.85
 2011-02-23 06:18:05  C3    381.95  458.60
 2011-02-23 06:24:00 COR2A 1082.47  745.33
 2011-02-23 06:39:00 COR2A 1086.53  754.87
 2011-02-23 06:54:00 COR2A 1090.53  764.07
 2011-02-23 06:54:05  C3    391.00  465.15
 2011-02-23 07:18:05  C3    397.10  468.45
 2011-02-23 07:24:31 COR2B  137.75 1451.05
 2011-02-23 07:30:06  C3    400.50  471.25
 2011-02-23 08:24:05  C2     18.60  268.90
 2011-02-23 08:36:05  C2     34.70  279.40
 2011-02-23 08:48:05  C2     51.65  290.65
 2011-02-23 09:12:09  C2     84.95  312.30
 2011-02-23 09:24:05  C2    101.45  323.15
 2011-02-23 09:36:05  C2    119.60  334.65
 2011-02-23 09:48:05  C2    137.20  345.75
 2011-02-23 10:00:06  C2    155.45  356.80
 2011-02-23 10:12:05  C2    175.20  369.40
 2011-02-23 10:24:05  C2    196.15  381.40
 2011-02-23 10:36:05  C2    216.40  394.50
 2011-02-23 10:48:06  C2    238.35  407.60
 2011-02-23 11:00:05  C2    256.95  419.10
