#SOHO-2064
#Discoverer: K. Nakonechny
#Comet Group: kreutz
#Original Report: 2011-05-11 20:52:11
#    DATE     TIME    TEL    COL     ROW  
 2011-05-12 00:36:07  C2    635.95 1003.40
 2011-05-12 00:48:06  C2    631.80  996.85
 2011-05-12 01:25:49  C2    614.15  973.25
 2011-05-12 01:36:21  C2    608.80  967.00
 2011-05-12 01:48:06  C2    602.65  957.55
 2011-05-12 02:12:07  C2    592.10  943.05
 2011-05-12 02:24:06  C2    585.00  933.05
 2011-05-12 02:36:06  C2    578.45  924.60
 2011-05-12 02:48:05  C2    574.35  918.40
 2011-05-12 03:12:10  C2    563.25  901.40
