#SOHO-2072
#Discoverer: S. Shurpakov
#Comet Group: kreutz
#Original Report: 2011-05-20 00:22:01
#    DATE     TIME    TEL    COL     ROW  
 2011-05-21 10:54:22 COR2B  158.00  479.95
 2011-05-21 11:24:00 COR2A 1908.75  472.85
 2011-05-21 11:24:22 COR2B  177.65  495.50
 2011-05-21 11:39:00 COR2A 1898.30  480.75
 2011-05-21 11:39:22 COR2B  187.60  503.40
 2011-05-21 11:54:00 COR2A 1887.60  488.70
 2011-05-21 11:54:22 COR2B  197.95  511.15
 2011-05-21 12:08:00 COR2A 1877.70  496.10
 2011-05-21 12:24:00 COR2A 1866.15  504.75
 2011-05-21 12:24:22 COR2B  218.40  527.47
 2011-05-21 12:39:00 COR2A 1855.00  512.95
 2011-05-21 12:39:22 COR2B  228.93  535.53
 2011-05-21 12:54:00 COR2A 1844.05  521.10
 2011-05-21 12:54:23 COR2B  239.27  543.60
 2011-05-21 13:08:00 COR2A 1834.00  528.70
 2011-05-21 13:24:00 COR2A 1822.20  537.65
 2011-05-21 13:24:23 COR2B  260.47  559.87
 2011-05-21 13:39:00 COR2A 1810.90  545.85
 2011-05-21 13:39:23 COR2B  271.20  568.07
 2011-05-21 13:54:00 COR2A 1799.45  554.50
 2011-05-21 13:54:23 COR2B  281.93  576.53
 2011-05-21 14:12:08  C2    542.25 1010.85
 2011-05-21 14:24:00 COR2A 1776.45  571.50
 2011-05-21 14:24:07  C2    538.10 1003.15
 2011-05-21 14:24:23 COR2B  303.73  593.40
 2011-05-21 14:36:07  C2    533.45  995.75
 2011-05-21 14:39:00 COR2A 1764.80  579.95
 2011-05-21 14:39:23 COR2B  314.93  601.80
 2011-05-21 14:48:06  C2    529.45  988.70
 2011-05-21 14:54:00 COR2A 1753.10  588.65
 2011-05-21 14:54:23 COR2B  326.13  610.40
 2011-05-21 15:12:09  C2    520.95  973.95
 2011-05-21 15:24:00 COR2A 1728.85  606.55
 2011-05-21 15:24:06  C2    516.40  966.60
 2011-05-21 15:24:23 COR2B  348.73  627.67
 2011-05-21 15:36:06  C2    512.65  959.05
 2011-05-21 15:39:00 COR2A 1716.85  615.10
 2011-05-21 15:39:23 COR2B  360.20  636.07
 2011-05-21 15:48:05  C2    508.15  951.35
 2011-05-21 15:54:00 COR2A 1704.30  624.30
 2011-05-21 15:54:23 COR2B  372.20  645.20
 2011-05-21 16:00:05  C2    503.45  944.20
 2011-05-21 16:12:06  C2    499.75  936.20
 2011-05-21 16:24:00 COR2A 1679.15  642.55
 2011-05-21 16:24:05  C2    495.60  928.50
 2011-05-21 16:24:23 COR2B  395.47  662.93
 2011-05-21 16:36:06  C2    491.00  920.55
