#SOHO-2073
#Discoverer: Kusiak, Xu, Uchina
#Comet Group: kreutz
#Original Report: 2011-05-21 06:41:21
#    DATE     TIME    TEL    COL     ROW  
 2011-05-21 10:36:05  C2    513.05 1011.00
 2011-05-21 10:48:05  C2    508.95 1003.95
 2011-05-21 11:00:06  C2    505.05  996.65
 2011-05-21 11:12:07  C2    500.75  989.15
 2011-05-21 11:24:05  C2    496.15  981.90
 2011-05-21 11:36:05  C2    492.20  974.80
 2011-05-21 11:48:05  C2    488.25  967.25
 2011-05-21 12:00:05  C2    484.00  959.70
 2011-05-21 12:12:05  C2    480.00  952.00
 2011-05-21 12:24:05  C2    476.05  944.45
 2011-05-21 12:36:05  C2    472.10  936.95
 2011-05-21 12:48:06  C2    468.00  929.10
 2011-05-21 13:25:48  C2    454.95  903.85
 2011-05-21 13:36:22  C2    451.45  896.75
 2011-05-21 13:48:06  C2    447.35  888.65
 2011-05-21 14:00:06  C2    443.30  880.30
 2011-05-21 14:12:08  C2    439.60  872.00
 2011-05-21 14:24:07  C2    435.15  863.75
