#SOHO-2079
#Discoverer: B. Zhou
#Comet Group: kreutz
#Original Report: 2011-05-24 23:18:13
#    DATE     TIME    TEL    COL     ROW  
 2011-05-24 18:12:06  C2    498.80 1004.95
 2011-05-24 18:24:06  C2    494.55  996.05
 2011-05-24 18:36:05  C2    491.00  989.10
 2011-05-24 18:48:07  C2    486.90  980.85
 2011-05-24 19:00:06  C2    483.15  973.55
 2011-05-24 19:12:06  C2    478.90  964.75
 2011-05-24 19:36:07  C2    471.20  948.85
 2011-05-24 19:48:06  C2    467.75  940.55
 2011-05-24 20:00:06  C2    463.35  931.90
 2011-05-24 20:12:38  C2    460.00  924.05
 2011-05-24 20:24:06  C2    456.05  915.45
 2011-05-24 20:36:07  C2    452.25  908.75
