#SOHO-2088
#Discoverer: A. Godunov
#Comet Group: kreutz
#Original Report: 2011-06-05 23:04:23
#    DATE     TIME    TEL    COL     ROW  
 2011-06-06 03:26:31  C3    439.95  691.95
 2011-06-06 04:26:02  C3    439.25  682.45
 2011-06-06 04:55:32  C3    438.45  678.85
 2011-06-06 05:25:06  C3    437.90  675.85
 2011-06-06 05:54:36  C3    437.50  671.10
 2011-06-06 06:24:06  C3    438.05  667.35
 2011-06-06 06:53:36  C3    437.40  662.35
 2011-06-06 07:52:35  C3    438.25  655.80
 2011-06-06 08:22:07  C3    437.55  650.00
 2011-06-06 08:51:44  C3    437.35  643.45
 2011-06-06 09:21:21  C3    437.45  638.25
 2011-06-06 09:28:19  C2    133.45 1006.20
 2011-06-06 09:43:06  C2    133.35  994.50
 2011-06-06 09:57:52  C2    133.60  984.05
 2011-06-06 10:12:42  C2    134.25  972.35
 2011-06-06 10:27:28  C2    134.85  959.85
 2011-06-06 10:42:14  C2    135.25  947.95
 2011-06-06 10:57:03  C2    136.25  934.80
 2011-06-06 11:26:35  C2    137.80  910.35
 2011-06-06 11:41:22  C2    139.35  899.25
 2011-06-06 11:56:06  C2    139.60  886.75
 2011-06-06 12:10:52  C2    142.40  872.70
 2011-06-06 12:25:39  C2    143.90  860.15
