#SOHO-2138
#Discoverer: Kusiak, Schmalz
#Comet Group: kreutz
#Original Report: 2011-09-13 01:13:06
#    DATE     TIME    TEL    COL     ROW  
 2011-09-12 20:39:51 COR2B  985.60   44.73
 2011-09-12 20:54:51 COR2B  987.40   48.53
 2011-09-12 21:24:51 COR2B  991.53   56.60
 2011-09-12 21:39:51 COR2B  993.00   61.40
 2011-09-12 21:54:51 COR2B  995.00   65.93
 2011-09-12 22:24:51 COR2B  998.60   73.67
 2011-09-12 22:39:51 COR2B 1000.80   77.60
 2011-09-12 22:54:51 COR2B 1002.33   82.07
 2011-09-12 23:24:51 COR2B 1004.93   90.67
 2011-09-12 23:39:51 COR2B 1007.13   94.60
 2011-09-12 23:54:51 COR2B 1009.07   99.07
 2011-09-13 00:24:51 COR2B 1013.00  107.20
 2011-09-13 00:39:51 COR2B 1014.60  111.60
 2011-09-13 00:54:51 COR2B 1016.80  116.07
 2011-09-13 01:24:51 COR2B 1020.53  124.60
 2011-09-13 01:39:51 COR2B 1021.93  128.87
 2011-09-13 01:54:51 COR2B 1023.80  133.00
 2011-09-13 02:24:51 COR2B 1027.13  141.67
 2011-09-13 02:39:51 COR2B 1028.93  146.53
 2011-09-13 02:54:51 COR2B 1031.07  150.60
 2011-09-13 03:24:51 COR2B 1034.60  159.53
 2011-09-13 03:31:19  C3    925.33  265.17
 2011-09-13 03:39:51 COR2B 1036.27  164.40
 2011-09-13 03:54:05  C3    921.50  267.50
 2011-09-13 03:54:51 COR2B 1038.33  168.53
 2011-09-13 04:18:06  C3    918.50  270.17
 2011-09-13 04:24:51 COR2B 1041.93  177.53
 2011-09-13 04:39:51 COR2B 1043.73  182.07
 2011-09-13 04:42:05  C3    914.67  272.33
 2011-09-13 04:54:51 COR2B 1045.40  186.73
 2011-09-13 05:06:06  C3    911.50  275.17
 2011-09-13 05:18:05  C3    909.67  276.17
 2011-09-13 05:24:51 COR2B 1049.07  195.73
 2011-09-13 05:30:06  C3    907.67  277.33
 2011-09-13 05:39:51 COR2B 1050.93  200.47
 2011-09-13 05:54:06  C3    904.17  280.17
 2011-09-13 05:54:51 COR2B 1053.07  204.60
 2011-09-13 06:18:05  C3    900.67  282.17
 2011-09-13 06:24:51 COR2B 1056.13  214.07
 2011-09-13 06:39:51 COR2B 1058.40  218.53
 2011-09-13 06:42:06  C3    897.17  285.17
 2011-09-13 06:54:51 COR2B 1060.00  223.33
 2011-09-13 07:18:07  C3    891.50  289.00
 2011-09-13 07:24:51 COR2B 1063.73  232.67
 2011-09-13 07:39:51 COR2B 1065.27  237.60
 2011-09-13 07:54:06  C3    886.00  292.83
 2011-09-13 07:54:51 COR2B 1067.00  242.27
 2011-09-13 08:24:51 COR2B 1070.93  251.87
 2011-09-13 08:30:05  C3    880.33  296.83
 2011-09-13 08:39:51 COR2B 1072.47  256.73
 2011-09-13 08:54:51 COR2B 1074.40  261.40
 2011-09-13 09:06:06  C3    874.83  300.50
 2011-09-13 09:24:51 COR2B 1077.93  271.00
 2011-09-13 09:30:05  C3    871.17  303.17
 2011-09-13 09:39:51 COR2B 1080.00  276.00
 2011-09-13 09:54:06  C3    867.17  306.00
 2011-09-13 09:54:51 COR2B 1081.60  281.20
 2011-09-13 10:18:05  C3    863.67  308.17
 2011-09-13 10:24:51 COR2B 1085.13  290.73
 2011-09-13 10:39:51 COR2B 1086.93  295.67
 2011-09-13 10:42:06  C3    860.00  311.00
 2011-09-13 10:54:51 COR2B 1088.93  300.67
 2011-09-13 11:06:06  C3    855.83  313.83
 2011-09-13 11:24:51 COR2B 1092.40  310.80
 2011-09-13 11:30:06  C3    851.83  316.67
 2011-09-13 11:39:51 COR2B 1094.00  315.60
 2011-09-13 11:54:51 COR2B 1095.87  320.67
 2011-09-13 12:06:06  C3    846.33  320.67
 2011-09-13 12:24:51 COR2B 1099.33  331.00
 2011-09-13 12:30:07  C3    842.67  323.17
 2011-09-13 12:39:51 COR2B 1101.13  336.40
 2011-09-13 12:54:00 COR2A  478.25  144.70
 2011-09-13 12:54:06  C3    838.83  325.83
 2011-09-13 12:54:51 COR2B 1103.00  341.47
 2011-09-13 13:24:00 COR2A  481.20  160.45
 2011-09-13 13:24:51 COR2B 1106.40  351.73
 2011-09-13 13:30:25  C3    833.17  330.00
 2011-09-13 13:39:00 COR2A  483.00  168.45
 2011-09-13 13:39:51 COR2B 1108.40  356.67
 2011-09-13 13:54:00 COR2A  484.30  176.10
 2011-09-13 13:54:51 COR2B 1110.00  362.07
 2011-09-13 14:24:00 COR2A  487.60  191.95
 2011-09-13 14:24:51 COR2B 1113.53  372.73
 2011-09-13 14:35:25  C3    821.33  337.67
 2011-09-13 14:39:00 COR2A  489.20  200.00
 2011-09-13 14:39:51 COR2B 1115.53  378.07
 2011-09-13 14:54:00 COR2A  491.00  207.85
 2011-09-13 14:54:51 COR2B 1117.00  383.40
 2011-09-13 15:18:05  C3    814.00  342.67
 2011-09-13 15:24:00 COR2A  494.25  223.70
 2011-09-13 15:24:51 COR2B 1120.53  394.13
 2011-09-13 15:39:00 COR2A  496.10  231.40
 2011-09-13 15:39:51 COR2B 1122.47  399.87
 2011-09-13 15:42:05  C3    809.83  345.83
 2011-09-13 15:54:00 COR2A  497.85  239.60
 2011-09-13 15:54:51 COR2B 1123.93  405.20
 2011-09-13 16:06:05  C3    806.17  348.17
 2011-09-13 16:24:00 COR2A  501.25  255.70
 2011-09-13 16:24:51 COR2B 1127.40  416.13
 2011-09-13 16:30:05  C3    802.17  350.83
 2011-09-13 16:39:00 COR2A  503.20  263.65
 2011-09-13 16:39:51 COR2B 1129.27  421.87
 2011-09-13 16:54:00 COR2A  505.05  271.95
 2011-09-13 16:54:05  C3    798.50  353.67
 2011-09-13 16:54:51 COR2B 1130.73  427.27
 2011-09-13 17:18:05  C3    794.17  356.67
 2011-09-13 17:24:00 COR2A  508.35  287.85
 2011-09-13 17:24:51 COR2B 1134.40  438.47
 2011-09-13 17:39:00 COR2A  510.05  295.90
 2011-09-13 17:39:51 COR2B 1135.93  444.33
 2011-09-13 17:42:05  C3    789.67  359.67
 2011-09-13 17:54:00 COR2A  512.10  304.10
 2011-09-13 17:54:51 COR2B 1137.47  449.93
 2011-09-13 18:06:05  C3    785.50  362.33
 2011-09-13 18:24:00 COR2A  516.20  320.65
 2011-09-13 18:24:51 COR2B 1141.07  461.20
 2011-09-13 18:30:06  C3    781.17  365.67
 2011-09-13 18:39:00 COR2A  518.10  328.80
 2011-09-13 18:39:51 COR2B 1142.73  467.13
 2011-09-13 18:54:00 COR2A  520.05  336.80
 2011-09-13 18:54:05  C3    777.00  368.67
 2011-09-13 18:54:51 COR2B 1144.33  473.47
 2011-09-13 19:18:05  C3    772.33  371.67
 2011-09-13 19:24:00 COR2A  524.10  353.10
 2011-09-13 19:24:51 COR2B 1147.60  485.00
 2011-09-13 19:39:00 COR2A  526.40  361.95
 2011-09-13 19:39:51 COR2B 1149.47  490.87
 2011-09-13 19:42:05  C3    768.00  374.33
 2011-09-13 19:54:00 COR2A  528.30  369.85
 2011-09-13 19:54:51 COR2B 1150.93  496.53
 2011-09-13 20:06:05  C3    763.67  377.33
 2011-09-13 20:24:00 COR2A  532.95  387.10
 2011-09-13 20:24:51 COR2B 1154.33  509.07
 2011-09-13 20:30:05  C3    759.33  380.83
 2011-09-13 20:39:00 COR2A  535.10  395.55
 2011-09-13 20:39:52 COR2B 1155.60  515.00
 2011-09-13 20:54:00 COR2A  537.65  404.30
 2011-09-13 20:54:52 COR2B 1157.33  521.07
 2011-09-13 21:11:29  C3    751.50  385.83
 2011-09-13 21:24:00 COR2A  542.25  421.20
 2011-09-13 21:24:52 COR2B 1160.53  533.67
 2011-09-13 21:30:05  C3    748.17  388.17
 2011-09-13 21:39:00 COR2A  544.65  429.75
 2011-09-13 21:39:52 COR2B 1162.33  539.87
 2011-09-13 21:54:00 COR2A  547.00  438.30
 2011-09-13 21:54:52 COR2B 1163.73  546.13
 2011-09-13 22:06:05  C3    741.50  392.67
 2011-09-13 22:24:00 COR2A  552.20  455.70
 2011-09-13 22:24:52 COR2B 1166.93  559.13
 2011-09-13 22:30:05  C3    736.50  396.33
 2011-09-13 22:39:00 COR2A  554.55  464.50
 2011-09-13 22:39:52 COR2B 1168.33  565.53
 2011-09-13 22:54:00 COR2A  557.10  473.00
 2011-09-13 22:54:52 COR2B 1170.07  572.33
 2011-09-13 23:18:14  C3    727.50  402.50
 2011-09-13 23:24:00 COR2A  562.65  491.00
 2011-09-13 23:24:52 COR2B 1172.87  585.13
 2011-09-13 23:39:00 COR2A  565.60  499.90
 2011-09-13 23:39:52 COR2B 1174.27  591.73
 2011-09-13 23:42:05  C3    722.67  405.83
 2011-09-13 23:54:00 COR2A  568.15  508.75
 2011-09-13 23:54:52 COR2B 1175.53  599.07
 2011-09-14 00:06:05  C3    717.67  409.33
 2011-09-14 00:24:00 COR2A  573.95  527.10
 2011-09-14 00:24:52 COR2B 1178.47  612.27
 2011-09-14 00:30:07  C3    712.83  412.33
 2011-09-14 00:39:00 COR2A  577.00  536.05
 2011-09-14 00:39:52 COR2B 1180.13  618.87
 2011-09-14 00:54:00 COR2A  579.90  545.25
 2011-09-14 00:54:06  C3    707.83  416.00
 2011-09-14 00:54:52 COR2B 1181.53  626.00
 2011-09-14 01:24:00 COR2A  586.25  563.45
 2011-09-14 01:24:52 COR2B 1184.00  640.67
 2011-09-14 01:39:00 COR2A  589.00  572.55
 2011-09-14 01:39:52 COR2B 1185.27  647.33
 2011-09-14 01:42:05  C3    697.83  422.67
 2011-09-14 01:54:00 COR2A  592.70  582.40
 2011-09-14 01:54:52 COR2B 1187.00  654.13
 2011-09-14 02:06:05  C3    692.67  426.33
 2011-09-14 02:24:00 COR2A  599.50  601.30
 2011-09-14 02:24:52 COR2B 1189.20  669.00
 2011-09-14 02:30:06  C3    687.50  429.67
 2011-09-14 02:39:00 COR2A  602.70  610.35
 2011-09-14 02:39:52 COR2B 1190.47  676.47
 2011-09-14 02:54:00 COR2A  606.50  620.20
 2011-09-14 02:54:52 COR2B 1191.53  683.80
 2011-09-14 03:06:05  C3    679.67  435.17
 2011-09-14 03:24:00 COR2A  613.75  639.30
 2011-09-14 03:24:52 COR2B 1193.80  699.07
 2011-09-14 03:30:06  C3    674.00  438.83
 2011-09-14 03:39:00 COR2A  617.70  649.20
 2011-09-14 03:39:52 COR2B 1195.13  706.27
 2011-09-14 03:54:00 COR2A  621.55  659.00
 2011-09-14 03:54:05  C3    668.17  442.50
 2011-09-14 03:54:52 COR2B 1195.87  714.47
 2011-09-14 04:06:05  C3    665.67  444.33
 2011-09-14 04:24:00 COR2A  629.85  678.90
 2011-09-14 04:24:52 COR2B 1197.80  730.93
 2011-09-14 04:30:07  C3    659.83  448.33
 2011-09-14 04:39:00 COR2A  633.80  688.85
 2011-09-14 04:39:52 COR2B 1198.80  738.73
 2011-09-14 04:54:00 COR2A  638.45  699.00
 2011-09-14 04:54:06  C3    654.33  452.00
 2011-09-14 04:54:52 COR2B 1199.80  747.07
 2011-09-14 05:18:05  C3    648.83  456.00
 2011-09-14 05:24:00 COR2A  647.45  719.60
 2011-09-14 05:24:52 COR2B 1201.13  763.13
 2011-09-14 05:39:00 COR2A  652.30  730.20
 2011-09-14 05:39:52 COR2B 1201.73  771.60
 2011-09-14 05:42:05  C3    642.67  459.67
