#SOHO-2143
#Discoverer: Kusiak, Zhou, Liwo, Xu
#Comet Group: kreutz
#Original Report: 2011-09-30 08:38:43
#    DATE     TIME    TEL    COL     ROW  
 2011-09-30 04:54:05  C3    972.00  211.95
 2011-09-30 05:24:55 COR2B 1365.87   61.53
 2011-09-30 05:30:05  C3    966.15  216.20
 2011-09-30 05:39:55 COR2B 1366.20   65.60
 2011-09-30 05:54:55 COR2B 1366.53   69.60
 2011-09-30 06:24:55 COR2B 1367.33   77.73
 2011-09-30 06:30:06  C3    956.85  222.35
 2011-09-30 06:39:55 COR2B 1367.40   82.07
 2011-09-30 06:54:55 COR2B 1367.53   86.33
 2011-09-30 07:24:55 COR2B 1368.40   94.53
 2011-09-30 07:39:55 COR2B 1368.60   98.53
 2011-09-30 07:42:05  C3    946.05  230.05
 2011-09-30 07:54:55 COR2B 1368.80  102.93
 2011-09-30 08:24:55 COR2B 1369.47  111.33
 2011-09-30 08:39:55 COR2B 1369.67  115.53
 2011-09-30 08:42:26  C3    937.15  236.45
 2011-09-30 08:54:55 COR2B 1369.93  119.93
 2011-09-30 09:24:55 COR2B 1370.47  128.33
 2011-09-30 09:39:55 COR2B 1370.47  132.47
 2011-09-30 09:42:05  C3    927.45  242.70
 2011-09-30 09:54:55 COR2B 1370.93  136.87
 2011-09-30 10:24:55 COR2B 1371.13  145.73
 2011-09-30 10:30:06  C3    919.90  248.05
 2011-09-30 10:39:55 COR2B 1371.47  149.87
 2011-09-30 10:54:55 COR2B 1371.73  154.40
 2011-09-30 11:06:06  C3    914.55  252.10
 2011-09-30 11:24:55 COR2B 1372.00  163.00
 2011-09-30 11:39:55 COR2B 1372.40  167.33
 2011-09-30 11:42:05  C3    909.10  256.10
 2011-09-30 12:18:06  C3    902.95  260.05
 2011-09-30 12:24:55 COR2B 1373.00  180.60
 2011-09-30 12:39:55 COR2B 1372.87  185.20
 2011-09-30 12:54:05  C3    897.35  264.10
 2011-09-30 12:54:55 COR2B 1373.20  189.80
 2011-09-30 13:24:55 COR2B 1373.40  198.80
 2011-09-30 13:39:55 COR2B 1373.40  203.07
 2011-09-30 13:54:06  C3    888.40  270.45
 2011-09-30 13:54:55 COR2B 1373.73  207.80
 2011-09-30 14:24:55 COR2B 1374.07  216.87
 2011-09-30 14:30:06  C3    882.65  273.85
 2011-09-30 14:39:55 COR2B 1374.00  221.40
 2011-09-30 14:54:55 COR2B 1374.27  225.93
 2011-09-30 15:18:05  C3    875.25  279.75
 2011-09-30 15:24:55 COR2B 1374.33  235.47
 2011-09-30 15:39:55 COR2B 1374.60  240.13
 2011-09-30 15:54:05  C3    869.45  283.70
