#SOHO-2256
#Discoverer: A. Watson
#Comet Group: kreutz
#Original Report: 2012-03-30 23:44:00
#    DATE     TIME    TEL    COL     ROW  
 2012-03-30 20:06:05  C3    174.40  265.50
 2012-03-30 20:18:06  C3    177.50  267.40
 2012-03-30 20:30:05  C3    179.50  270.25
 2012-03-30 20:42:05  C3    183.38  271.38
 2012-03-31 05:54:05  C3    258.38  327.38
 2012-03-31 07:06:05  C3    268.50  335.38
 2012-03-31 07:18:05  C3    270.50  336.38
 2012-03-31 07:30:06  C3    272.50  338.30
 2012-03-31 08:06:05  C3    278.38  342.38
 2012-03-31 08:18:05  C3    280.38  343.38
 2012-03-31 08:30:07  C3    281.38  345.25
 2012-03-31 08:42:05  C3    283.25  346.25
 2012-03-31 09:06:05  C3    287.38  349.62
 2012-03-31 09:18:06  C3    289.38  350.38
 2012-03-31 09:30:05  C3    291.38  351.25
 2012-03-31 09:42:05  C3    293.38  353.38
 2012-03-31 09:54:05  C3    295.62  354.38
 2012-03-31 10:18:05  C3    298.50  357.38
 2012-03-31 10:30:05  C3    300.50  358.38
 2012-03-31 10:42:05  C3    302.50  360.38
 2012-03-31 10:54:06  C3    304.38  361.50
 2012-03-31 11:06:05  C3    306.50  363.38
 2012-03-31 11:18:06  C3    308.50  364.50
 2012-03-31 11:42:05  C3    312.25  367.25
 2012-03-31 11:54:05  C3    314.12  369.00
 2012-03-31 12:06:05  C3    316.12  370.38
 2012-03-31 12:18:06  C3    317.88  371.62
 2012-03-31 12:30:07  C3    320.00  373.25
 2012-03-31 12:42:05  C3    322.12  374.50
 2012-03-31 12:54:05  C3    323.62  376.12
 2012-03-31 13:30:06  C3    330.50  380.50
 2012-03-31 13:42:05  C3    332.62  382.38
 2012-03-31 14:06:05  C3    336.38  385.38
 2012-03-31 14:18:05  C3    338.50  386.50
 2012-03-31 14:30:05  C3    340.50  388.25
 2012-03-31 14:42:05  C3    342.38  389.62
 2012-03-31 15:06:05  C3    346.50  393.38
 2012-03-31 15:18:05  C3    348.50  394.38
 2012-03-31 15:30:06  C3    350.50  396.38
 2012-03-31 15:42:05  C3    352.50  398.25
 2012-03-31 15:54:05  C3    354.50  399.38
 2012-03-31 16:06:05  C3    356.50  401.38
 2012-03-31 16:18:05  C3    359.38  402.38
 2012-03-31 16:30:05  C3    361.50  404.50
 2012-03-31 16:42:05  C3    363.50  405.38
 2012-03-31 16:54:05  C3    365.50  407.38
 2012-03-31 17:06:05  C3    367.50  409.25
 2012-03-31 17:18:05  C3    370.38  410.50
 2012-03-31 17:30:05  C3    372.62  412.25
 2012-03-31 17:42:06  C3    374.38  414.25
 2012-03-31 17:54:05  C3    376.50  416.25
 2012-03-31 18:06:05  C3    379.38  417.50
 2012-03-31 18:18:05  C3    381.38  419.38
 2012-03-31 18:24:00 COR2A 1623.90  568.40
 2012-03-31 18:30:05  C3    383.50  421.25
 2012-03-31 18:39:00 COR2A 1617.00  575.90
 2012-03-31 18:42:05  C3    385.62  422.88
 2012-03-31 18:54:00 COR2A 1609.60  584.30
 2012-03-31 18:54:05  C3    388.50  424.50
 2012-03-31 19:18:07  C3    392.50  428.25
 2012-03-31 19:24:00 COR2A 1593.50  603.40
 2012-03-31 19:30:05  C3    395.00  430.00
 2012-03-31 19:39:00 COR2A 1586.80  610.70
 2012-03-31 19:42:06  C3    397.50  431.50
 2012-03-31 19:54:00 COR2A 1578.90  619.40
 2012-03-31 19:54:06  C3    399.50  433.38
 2012-03-31 20:18:05  C3    405.00  437.00
 2012-03-31 20:24:00 COR2A 1562.60  637.40
 2012-03-31 20:30:07  C3    406.75  439.25
 2012-03-31 20:39:00 COR2A 1553.40  648.60
 2012-03-31 20:42:05  C3    409.00  441.38
 2012-03-31 20:54:00 COR2A 1544.90  656.90
 2012-03-31 21:24:00 COR2A 1526.80  676.10
 2012-03-31 21:39:00 COR2A 1517.70  685.90
 2012-03-31 21:54:00 COR2A 1509.30  695.50
 2012-03-31 22:24:00 COR2A 1489.20  715.20
 2012-03-31 22:39:00 COR2A 1481.00  725.40
 2012-03-31 22:54:00 COR2A 1471.00  736.00
 2012-03-31 23:24:00 COR2A 1447.90  758.60
 2012-03-31 23:39:00 COR2A 1438.60  768.30
