#SOHO-2284
#Discoverer: Mulye, Schmalz
#Comet Group: kreutz
#Original Report: 2012-05-12 03:10:43
#    DATE     TIME    TEL    COL     ROW  
 2012-05-12 02:18:05  C3    411.60  307.50
 2012-05-12 02:30:05  C3    412.50  308.40
 2012-05-12 02:42:05  C3    413.50  309.40
 2012-05-12 03:06:05  C3    415.50  312.10
 2012-05-12 03:30:06  C3    417.50  314.40
 2012-05-12 03:54:05  C3    419.50  316.60
 2012-05-12 04:18:05  C3    421.50  319.20
 2012-05-12 04:42:05  C3    423.50  321.30
 2012-05-12 05:06:05  C3    425.50  324.00
 2012-05-12 05:30:06  C3    427.60  326.40
 2012-05-12 05:54:05  C3    429.40  328.80
 2012-05-12 06:18:07  C3    432.10  331.40
 2012-05-12 06:42:05  C3    433.90  334.20
 2012-05-12 06:54:21 COR2B  254.55  340.45
 2012-05-12 07:06:05  C3    436.00  336.30
 2012-05-12 07:24:21 COR2B  265.45  355.75
 2012-05-12 07:30:05  C3    437.90  338.90
 2012-05-12 07:39:21 COR2B  271.00  363.80
 2012-05-12 07:54:06  C3    440.00  341.30
 2012-05-12 07:54:21 COR2B  276.53  371.53
 2012-05-12 08:18:05  C3    442.10  344.10
 2012-05-12 08:24:21 COR2B  287.53  387.27
 2012-05-12 08:39:21 COR2B  293.47  394.87
 2012-05-12 08:42:05  C3    444.50  347.10
 2012-05-12 08:54:21 COR2B  299.20  402.93
 2012-05-12 09:18:06  C3    447.40  351.10
 2012-05-12 09:24:21 COR2B  310.27  419.13
 2012-05-12 09:39:21 COR2B  316.27  427.33
 2012-05-12 09:42:05  C3    449.70  353.30
 2012-05-12 09:54:21 COR2B  321.80  435.20
 2012-05-12 10:06:05  C3    451.60  356.10
 2012-05-12 10:24:21 COR2B  333.53  451.47
 2012-05-12 10:30:05  C3    454.20  358.90
 2012-05-12 10:39:21 COR2B  339.80  459.33
 2012-05-12 10:54:06  C3    456.50  362.00
 2012-05-12 10:54:21 COR2B  345.80  467.87
 2012-05-12 11:18:05  C3    458.80  364.70
 2012-05-12 11:24:00 COR2A 1895.25  472.65
 2012-05-12 11:24:21 COR2B  358.07  484.07
 2012-05-12 11:39:00 COR2A 1883.40  480.87
 2012-05-12 11:39:21 COR2B  364.07  492.40
 2012-05-12 11:42:05  C3    460.60  367.40
 2012-05-12 11:54:00 COR2A 1872.27  488.87
 2012-05-12 11:54:21 COR2B  370.13  501.00
 2012-05-12 12:06:05  C3    463.20  370.40
 2012-05-12 12:24:00 COR2A 1848.47  505.60
 2012-05-12 12:24:21 COR2B  383.27  517.93
 2012-05-12 12:30:05  C3    465.40  373.40
 2012-05-12 12:39:00 COR2A 1836.40  513.80
 2012-05-12 12:39:21 COR2B  389.47  526.53
 2012-05-12 12:54:00 COR2A 1824.80  522.07
 2012-05-12 12:54:06  C3    468.00  376.50
 2012-05-12 12:54:21 COR2B  395.87  535.13
 2012-05-12 13:24:00 COR2A 1800.87  539.00
 2012-05-12 13:24:21 COR2B  409.53  552.13
 2012-05-12 13:39:00 COR2A 1788.40  547.73
 2012-05-12 13:39:21 COR2B  416.67  561.00
 2012-05-12 13:42:05  C3    471.70  382.30
 2012-05-12 13:48:05  C2    352.00    7.15
 2012-05-12 13:54:00 COR2A 1776.13  556.60
 2012-05-12 13:54:05  C3    473.40  384.20
 2012-05-12 13:54:21 COR2B  422.60  569.40
 2012-05-12 14:00:05  C2    357.20   14.20
 2012-05-12 14:06:05  C3    474.40  385.40
 2012-05-12 14:12:05  C2    363.20   21.30
 2012-05-12 14:24:00 COR2A 1750.93  574.07
 2012-05-12 14:24:05  C2    368.70   28.60
 2012-05-12 14:24:21 COR2B  437.20  587.53
 2012-05-12 14:30:05  C3    476.70  388.40
 2012-05-12 14:36:05  C2    373.90   35.80
 2012-05-12 14:39:00 COR2A 1738.73  582.60
 2012-05-12 14:39:21 COR2B  443.73  595.67
 2012-05-12 14:48:05  C2    379.90   43.20
 2012-05-12 14:54:00 COR2A 1725.80  591.53
 2012-05-12 14:54:21 COR2B  451.40  605.53
 2012-05-12 15:06:05  C3    480.10  393.30
 2012-05-12 15:12:08  C2    391.00   58.00
 2012-05-12 15:18:05  C3    481.40  394.80
 2012-05-12 15:24:00 COR2A 1699.60  609.67
 2012-05-12 15:24:06  C2    396.90   65.60
 2012-05-12 15:24:21 COR2B  466.33  623.67
 2012-05-12 15:30:05  C3    482.50  397.00
 2012-05-12 15:36:05  C2    402.10   72.90
 2012-05-12 15:39:00 COR2A 1686.60  618.67
 2012-05-12 15:39:21 COR2B  473.87  633.20
 2012-05-12 15:48:05  C2    407.80   80.30
 2012-05-12 15:54:00 COR2A 1673.47  628.13
 2012-05-12 15:54:06  C3    485.00  399.90
 2012-05-12 15:54:21 COR2B  481.13  642.13
 2012-05-12 16:00:05  C2    413.90   88.00
 2012-05-12 16:12:05  C2    419.40   95.70
 2012-05-12 16:24:00 COR2A 1645.80  646.87
 2012-05-12 16:24:05  C2    425.10  103.80
 2012-05-12 16:24:21 COR2B  496.93  660.93
 2012-05-12 16:36:05  C2    430.90  111.60
 2012-05-12 16:39:00 COR2A 1632.53  656.47
 2012-05-12 16:39:21 COR2B  503.87  669.67
 2012-05-12 16:48:06  C2    436.50  119.00
 2012-05-12 16:54:00 COR2A 1618.53  665.80
 2012-05-12 16:54:21 COR2B  513.13  679.80
 2012-05-12 17:00:05  C2    442.50  127.10
 2012-05-12 17:12:05  C2    448.20  135.10
 2012-05-12 17:24:00 COR2A 1590.13  685.53
 2012-05-12 17:24:05  C2    453.90  143.60
 2012-05-12 17:24:21 COR2B  529.27  699.20
 2012-05-12 17:36:05  C2    460.30  151.90
 2012-05-12 17:39:00 COR2A 1575.33  695.80
 2012-05-12 17:39:21 COR2B  537.73  708.53
 2012-05-12 17:48:05  C2    466.00  160.20
 2012-05-12 17:54:00 COR2A 1560.93  705.67
 2012-05-12 17:54:21 COR2B  545.67  718.40
 2012-05-12 18:00:05  C2    471.70  168.70
 2012-05-12 18:12:05  C2    477.90  177.40
 2012-05-12 18:24:00 COR2A 1531.20  725.80
 2012-05-12 18:24:05  C2    483.80  185.90
 2012-05-12 18:24:21 COR2B  564.13  738.33
 2012-05-12 18:36:05  C2    490.00  195.00
 2012-05-12 18:39:00 COR2A 1515.87  736.40
 2012-05-12 18:39:21 COR2B  573.60  749.00
 2012-05-12 18:48:05  C2    496.00  204.00
 2012-05-12 18:54:00 COR2A 1500.80  746.60
 2012-05-12 18:54:21 COR2B  582.67  759.00
 2012-05-12 19:00:05  C2    502.00  212.90
 2012-05-12 19:12:05  C2    507.70  222.10
 2012-05-12 19:24:00 COR2A 1468.87  768.07
 2012-05-12 19:24:05  C2    514.00  231.40
 2012-05-12 19:24:21 COR2B  601.93  780.27
 2012-05-12 19:36:05  C2    519.50  240.40
 2012-05-12 19:39:00 COR2A 1452.80  778.73
 2012-05-12 19:39:21 COR2B  613.60  791.53
 2012-05-12 19:48:05  C2    525.80  250.30
 2012-05-12 19:54:00 COR2A 1437.27  789.40
 2012-05-12 19:54:21 COR2B  620.93  800.13
 2012-05-12 20:00:05  C2    532.00  259.90
 2012-05-12 20:12:05  C2    538.80  271.90
 2012-05-12 20:24:00 COR2A 1402.93  812.33
 2012-05-12 20:24:05  C2    543.40  279.60
 2012-05-12 20:24:21 COR2B  644.27  823.93
 2012-05-12 20:39:00 COR2A 1385.20  823.93
 2012-05-12 20:39:21 COR2B  654.20  833.67
 2012-05-12 20:54:00 COR2A 1366.80  836.27
 2012-05-12 20:54:21 COR2B  667.07  846.60
 2012-05-12 21:24:00 COR2A 1329.40  861.00
 2012-05-12 21:39:00 COR2A 1311.13  872.80
 2012-05-12 21:54:00 COR2A 1291.07  885.73
 2012-05-12 22:24:00 COR2A 1250.60  912.13
 2012-05-12 22:39:00 COR2A 1227.20  926.60
