#SOHO-2287
#Discoverer: S. Mulye
#Comet Group: kreutz
#Original Report: 2012-05-15 17:41:51
#    DATE     TIME    TEL    COL     ROW  
 2012-05-15 23:18:05  C3    403.62  271.38
 2012-05-15 23:42:05  C3    405.50  273.38
 2012-05-16 00:06:06  C3    407.50  275.38
 2012-05-16 00:30:06  C3    409.50  277.38
 2012-05-16 00:54:05  C3    411.50  280.25
 2012-05-16 01:42:06  C3    414.50  284.38
 2012-05-16 02:06:05  C3    416.38  287.38
 2012-05-16 02:30:05  C3    418.50  289.50
 2012-05-16 03:06:05  C3    420.50  292.38
 2012-05-16 03:30:05  C3    422.50  295.38
 2012-05-16 03:54:05  C3    424.50  297.50
 2012-05-16 04:18:05  C3    426.50  299.38
 2012-05-16 04:42:06  C3    428.25  302.25
 2012-05-16 05:06:06  C3    430.00  304.38
 2012-05-16 05:30:06  C3    432.00  307.12
 2012-05-16 05:54:05  C3    433.62  309.50
 2012-05-16 06:18:05  C3    435.50  311.75
 2012-05-16 06:42:05  C3    437.50  314.25
 2012-05-16 07:06:05  C3    439.38  317.12
 2012-05-16 07:30:05  C3    441.38  319.00
 2012-05-16 07:54:05  C3    443.50  322.12
 2012-05-16 08:18:07  C3    445.50  324.38
 2012-05-16 08:42:05  C3    447.12  327.00
 2012-05-16 09:18:05  C3    449.88  331.12
 2012-05-16 09:42:05  C3    452.38  334.00
 2012-05-16 10:06:06  C3    453.62  336.25
 2012-05-16 10:30:05  C3    455.75  339.25
 2012-05-16 10:54:05  C3    457.75  342.25
 2012-05-16 11:18:05  C3    459.62  344.25
 2012-05-16 11:42:05  C3    461.75  347.38
 2012-05-16 11:54:21 COR2B  322.17  411.42
 2012-05-16 12:18:06  C3    465.12  351.88
 2012-05-16 12:24:21 COR2B  334.00  429.00
 2012-05-16 12:39:21 COR2B  340.50  437.67
 2012-05-16 12:42:05  C3    467.12  354.38
 2012-05-16 12:54:00 COR2A 1871.88  431.62
 2012-05-16 12:54:21 COR2B  344.67  445.58
 2012-05-16 13:24:00 COR2A 1850.88  447.12
 2012-05-16 13:24:21 COR2B  359.92  462.75
 2012-05-16 13:30:21  C3    470.75  360.25
 2012-05-16 13:39:00 COR2A 1839.58  455.50
