#SOHO-2344
#Discoverer: S. Schmalz
#Comet Group: kreutz
#Original Report: 2012-08-02 17:53:16
#    DATE     TIME    TEL    COL     ROW  
 2012-08-02 19:54:05  C3    872.70  248.40
 2012-08-02 20:06:05  C3    871.90  250.10
 2012-08-02 20:18:05  C3    870.40  251.40
 2012-08-02 20:30:05  C3    869.90  252.30
 2012-08-02 20:42:05  C3    868.90  253.10
 2012-08-02 21:11:31  C3    866.50  255.40
 2012-08-02 21:22:08  C3    866.20  256.50
 2012-08-02 21:43:10  C3    864.60  258.30
 2012-08-02 21:54:05  C3    863.80  259.20
 2012-08-02 22:18:05  C3    862.00  261.20
 2012-08-02 23:06:14  C3    858.40  265.20
 2012-08-02 23:18:05  C3    857.60  266.50
 2012-08-02 23:42:05  C3    855.50  268.20
 2012-08-03 00:06:07  C3    853.60  270.10
 2012-08-03 00:30:07  C3    851.50  272.40
 2012-08-03 00:54:05  C3    849.50  274.50
 2012-08-03 01:42:06  C3    845.70  278.40
 2012-08-03 01:54:05  C3    844.70  279.50
 2012-08-03 02:18:05  C3    843.00  281.30
 2012-08-03 02:42:06  C3    840.90  283.60
 2012-08-03 03:18:05  C3    838.00  286.70
 2012-08-03 04:22:16  C3    832.50  292.20
 2012-08-03 04:43:22  C3    830.50  294.50
 2012-08-03 05:06:06  C3    829.20  296.30
 2012-08-03 05:30:06  C3    826.80  298.50
 2012-08-03 06:18:06  C3    822.50  303.10
 2012-08-03 07:18:13  C3    817.50  308.50
 2012-08-03 07:42:05  C3    815.20  310.40
 2012-08-03 08:24:00 COR2A  954.42    7.42
 2012-08-03 08:30:06  C3    810.60  315.40
 2012-08-03 08:39:00 COR2A  952.17   15.33
 2012-08-03 08:54:00 COR2A  949.42   22.75
 2012-08-03 09:06:05  C3    807.30  318.40
 2012-08-03 09:24:00 COR2A  944.50   38.50
 2012-08-03 09:39:00 COR2A  942.17   46.33
 2012-08-03 09:42:05  C3    804.00  322.20
 2012-08-03 09:54:00 COR2A  939.67   54.25
 2012-08-03 10:06:05  C3    801.60  324.30
 2012-08-03 10:24:00 COR2A  934.67   69.75
 2012-08-03 10:30:05  C3    799.50  326.90
 2012-08-03 10:39:00 COR2A  932.58   77.83
 2012-08-03 10:54:00 COR2A  930.33   85.50
 2012-08-03 10:54:05  C3    797.50  329.40
 2012-08-03 11:18:06  C3    794.60  331.50
 2012-08-03 11:24:00 COR2A  925.50  101.42
 2012-08-03 11:39:00 COR2A  922.92  109.25
 2012-08-03 11:42:05  C3    792.50  334.20
