#SOHO-2387
#Discoverer: Liwo, Kida
#Comet Group: kreutz
#Original Report: 2012-10-30 17:25:36
#    DATE     TIME    TEL    COL     ROW  
 2012-10-29 22:18:05  C3    779.47  182.33
 2012-10-29 22:30:05  C3    776.60  184.73
 2012-10-29 23:06:12  C3    773.93  187.40
 2012-10-29 23:42:05  C3    768.25  192.12
 2012-10-29 23:54:05  C3    766.62  193.88
 2012-10-30 00:06:05  C3    765.25  196.38
 2012-10-30 00:18:06  C3    763.75  197.12
 2012-10-30 00:30:05  C3    761.62  199.38
 2012-10-30 00:42:07  C3    760.00  200.75
 2012-10-30 01:30:25  C3    755.50  204.38
 2012-10-30 01:54:05  C3    751.00  209.25
 2012-10-30 02:18:05  C3    747.50  212.25
 2012-10-30 02:42:06  C3    744.38  215.00
 2012-10-30 03:18:05  C3    738.75  220.38
 2012-10-30 03:42:05  C3    735.62  223.38
 2012-10-30 04:06:06  C3    732.50  226.25
 2012-10-30 04:30:06  C3    729.00  229.25
 2012-10-30 04:54:07  C3    725.38  232.50
 2012-10-30 05:18:05  C3    722.38  235.12
 2012-10-30 05:42:05  C3    718.75  238.50
 2012-10-30 06:06:05  C3    715.75  241.25
 2012-10-30 06:30:07  C3    712.38  244.12
 2012-10-30 06:54:05  C3    708.50  247.38
 2012-10-30 07:18:06  C3    705.50  250.50
 2012-10-30 07:42:06  C3    702.25  253.75
 2012-10-30 08:06:07  C3    698.75  256.88
 2012-10-30 08:30:05  C3    695.50  260.12
 2012-10-30 09:06:05  C3    690.75  264.38
 2012-10-30 09:42:05  C3    685.25  269.38
 2012-10-30 10:06:05  C3    682.38  272.25
 2012-10-30 10:42:05  C3    677.00  277.25
 2012-10-30 11:06:07  C3    673.50  280.75
 2012-10-30 11:42:07  C3    668.50  285.38
 2012-10-30 12:06:05  C3    664.88  288.62
 2012-10-30 12:42:05  C3    659.88  293.50
 2012-10-30 13:30:26  C3    653.25  299.88
 2012-10-30 13:54:05  C3    649.62  303.38
 2012-10-30 14:18:06  C3    646.00  306.88
 2012-10-30 14:42:05  C3    643.12  309.88
 2012-10-30 15:30:05  C3    636.12  316.25
 2012-10-30 15:54:07  C3    632.25  320.25
 2012-10-30 16:30:07  C3    627.00  325.25
 2012-10-30 16:54:05  C3    623.25  328.75
 2012-10-30 17:18:05  C3    619.75  332.25
 2012-10-30 17:42:06  C3    616.12  336.12
 2012-10-30 18:06:06  C3    612.12  339.88
 2012-10-30 18:30:05  C3    609.25  343.12
 2012-10-30 18:54:05  C3    604.88  346.62
 2012-10-30 19:18:06  C3    601.62  350.12
 2012-10-30 19:42:05  C3    598.12  353.62
 2012-10-30 20:06:06  C3    593.88  357.75
 2012-10-30 20:30:06  C3    590.88  361.25
 2012-10-30 20:54:00 COR2A  287.60  564.80
 2012-10-30 21:18:05  C3    583.62  368.75
 2012-10-30 21:24:00 COR2A  312.20  581.80
 2012-10-30 21:39:00 COR2A  321.80  589.00
 2012-10-30 21:42:06  C3    579.25  372.75
 2012-10-30 21:54:00 COR2A  337.30  599.10
 2012-10-30 22:06:05  C3    575.38  376.50
 2012-10-30 22:18:06  C3    574.12  378.12
 2012-10-30 22:24:00 COR2A  362.30  616.90
 2012-10-30 22:30:05  C3    571.88  380.38
 2012-10-30 22:39:00 COR2A  375.30  626.00
 2012-10-30 22:54:00 COR2A  386.90  633.90
 2012-10-30 23:12:12  C2    788.17   25.67
 2012-10-30 23:24:00 COR2A  414.00  652.60
 2012-10-30 23:24:05  C2    779.33   34.83
 2012-10-30 23:36:05  C2    770.17   44.67
 2012-10-30 23:39:00 COR2A  427.10  661.90
 2012-10-30 23:48:05  C2    761.83   54.17
 2012-10-30 23:54:00 COR2A  440.90  670.90
 2012-10-31 00:00:05  C2    752.33   63.50
 2012-10-31 00:12:06  C2    743.17   73.83
 2012-10-31 00:24:00 COR2A  469.30  690.90
 2012-10-31 00:24:05  C2    734.33   83.83
 2012-10-31 00:36:06  C2    725.33   94.00
 2012-10-31 00:39:00 COR2A  480.20  699.10
 2012-10-31 00:48:05  C2    716.00  103.83
 2012-10-31 00:54:00 COR2A  495.40  709.00
 2012-10-31 01:24:00 COR2A  524.10  728.10
 2012-10-31 01:25:48  C2    686.83  135.83
 2012-10-31 01:36:22  C2    679.00  144.67
 2012-10-31 01:39:00 COR2A  540.10  739.50
 2012-10-31 01:48:06  C2    669.67  155.17
 2012-10-31 01:54:00 COR2A  555.60  750.00
 2012-10-31 02:00:05  C2    660.00  166.17
 2012-10-31 02:12:05  C2    650.83  176.83
 2012-10-31 02:24:05  C2    641.17  187.83
 2012-10-31 02:36:05  C2    631.33  198.50
 2012-10-31 02:48:07  C2    622.00  210.17
 2012-10-31 03:12:10  C2    601.83  233.33
 2012-10-31 03:24:06  C2    592.50  245.33
