#SOHO-2518
#Discoverer: P. Maysonet
#Comet Group: kreutz
#Original Report: 2013-05-23 22:42:18
#    DATE     TIME    TEL    COL     ROW  
 2013-05-24 00:18:06  C3    404.47  213.13
 2013-05-24 00:30:05  C3    405.53  214.67
 2013-05-24 00:54:06  C3    406.53  216.40
 2013-05-24 01:42:05  C3    408.60  218.53
 2013-05-24 02:18:05  C3    410.53  222.60
 2013-05-24 02:30:05  C3    411.33  223.60
 2013-05-24 02:42:05  C3    412.33  224.93
 2013-05-24 03:18:06  C3    413.67  227.33
 2013-05-24 04:22:30  C3    417.40  232.47
 2013-05-24 04:44:03  C3    418.60  234.20
 2013-05-24 05:06:07  C3    419.53  235.40
 2013-05-24 05:30:05  C3    421.40  237.67
 2013-05-24 06:18:05  C3    424.00  241.47
 2013-05-24 07:18:12  C3    427.47  245.53
 2013-05-24 08:06:05  C3    429.47  249.47
 2013-05-24 08:42:29  C3    431.47  252.33
 2013-05-24 09:42:06  C3    434.73  257.20
 2013-05-24 10:06:06  C3    436.53  259.27
 2013-05-24 10:30:05  C3    437.47  261.33
 2013-05-24 10:54:05  C3    438.73  263.13
 2013-05-24 11:18:05  C3    440.47  265.07
 2013-05-24 11:54:06  C3    442.27  268.33
 2013-05-24 12:18:05  C3    443.80  270.13
 2013-05-24 12:54:05  C3    445.33  273.47
 2013-05-24 13:42:06  C3    448.40  277.60
 2013-05-24 14:06:06  C3    449.67  279.60
 2013-05-24 14:30:05  C3    451.13  281.80
 2013-05-24 15:06:05  C3    453.00  284.80
 2013-05-24 15:30:05  C3    454.47  286.80
 2013-05-24 16:21:41  C3    457.73  292.07
 2013-05-24 16:42:06  C3    459.07  294.00
 2013-05-24 17:06:05  C3    459.93  296.07
 2013-05-24 17:42:05  C3    461.93  299.13
 2013-05-24 18:06:05  C3    463.93  301.47
 2013-05-24 18:30:05  C3    465.00  303.67
 2013-05-24 19:06:05  C3    467.07  306.80
 2013-05-24 20:06:05  C3    470.87  313.00
 2013-05-24 20:30:05  C3    472.07  315.27
 2013-05-24 20:54:27 COR2B  373.27  242.07
 2013-05-24 21:24:27 COR2B  380.00  257.53
 2013-05-24 21:30:05  C3    475.53  321.07
 2013-05-24 21:54:07  C3    476.93  323.53
 2013-05-24 21:54:27 COR2B  385.83  272.42
 2013-05-24 22:18:06  C3    478.93  325.87
 2013-05-24 22:24:27 COR2B  393.00  288.00
 2013-05-24 22:54:27 COR2B  399.33  303.33
 2013-05-24 23:06:13  C3    481.00  330.60
 2013-05-24 23:24:27 COR2B  406.00  319.50
 2013-05-24 23:30:05  C3    482.93  333.20
 2013-05-24 23:54:05  C3    484.20  335.60
 2013-05-24 23:54:27 COR2B  411.83  334.58
 2013-05-25 00:24:27 COR2B  419.58  350.67
 2013-05-25 00:30:05  C3    486.47  339.40
 2013-05-25 00:54:00 COR2A 1810.40  339.60
 2013-05-25 00:54:05  C3    487.93  341.87
 2013-05-25 00:54:27 COR2B  426.50  365.33
 2013-05-25 01:24:00 COR2A 1789.40  355.95
 2013-05-25 01:24:27 COR2B  434.42  382.42
 2013-05-25 01:39:00 COR2A 1778.85  364.10
 2013-05-25 01:42:05  C3    490.73  347.20
 2013-05-25 01:54:00 COR2A 1768.45  372.55
 2013-05-25 01:54:27 COR2B  441.00  398.50
 2013-05-25 02:06:06  C3    492.00  350.07
 2013-05-25 02:24:00 COR2A 1747.40  388.55
 2013-05-25 02:24:27 COR2B  448.12  414.12
 2013-05-25 02:30:06  C3    493.73  352.73
 2013-05-25 02:39:00 COR2A 1736.75  396.90
 2013-05-25 02:54:00 COR2A 1725.85  405.55
 2013-05-25 02:54:27 COR2B  456.38  430.75
 2013-05-25 03:06:05  C3    495.87  356.60
 2013-05-25 03:24:00 COR2A 1704.75  422.20
 2013-05-25 03:24:27 COR2B  463.25  447.00
 2013-05-25 03:30:06  C3    497.13  358.87
 2013-05-25 03:39:00 COR2A 1694.05  430.75
 2013-05-25 03:54:00 COR2A 1682.95  439.15
 2013-05-25 03:54:07  C3    498.80  361.93
 2013-05-25 03:54:27 COR2B  471.00  462.25
 2013-05-25 04:18:05  C3    500.20  364.73
 2013-05-25 04:24:00 COR2A 1661.50  456.10
 2013-05-25 04:24:27 COR2B  479.50  480.25
 2013-05-25 04:39:00 COR2A 1650.70  464.55
 2013-05-25 04:42:06  C3    501.93  367.93
 2013-05-25 04:54:00 COR2A 1639.65  473.30
 2013-05-25 04:54:27 COR2B  488.00  497.38
 2013-05-25 05:18:05  C3    503.80  372.00
 2013-05-25 05:24:00 COR2A 1617.75  490.55
 2013-05-25 05:24:27 COR2B  497.25  514.12
 2013-05-25 05:39:00 COR2A 1606.40  499.60
 2013-05-25 05:42:06  C3    504.80  375.00
 2013-05-25 05:54:00 COR2A 1595.05  508.30
 2013-05-25 05:54:27 COR2B  506.25  532.25
 2013-05-25 06:06:06  C3    506.87  377.87
 2013-05-25 06:24:00 COR2A 1572.90  526.05
 2013-05-25 06:24:27 COR2B  515.00  549.12
 2013-05-25 06:30:06  C3    508.13  381.00
 2013-05-25 06:39:00 COR2A 1561.45  535.00
 2013-05-25 06:54:00 COR2A 1549.80  544.35
 2013-05-25 06:54:06  C3    509.93  384.07
 2013-05-25 06:54:27 COR2B  524.62  566.75
 2013-05-25 07:00:06  C2    529.33    7.00
 2013-05-25 07:12:05  C2    533.17   14.67
 2013-05-25 07:24:00 COR2A 1526.90  562.35
 2013-05-25 07:24:05  C2    537.00   21.17
 2013-05-25 07:24:27 COR2B  534.38  584.75
 2013-05-25 07:36:05  C2    540.17   30.00
 2013-05-25 07:39:00 COR2A 1515.15  571.95
 2013-05-25 07:48:05  C2    544.17   35.67
 2013-05-25 07:54:00 COR2A 1504.00  580.95
 2013-05-25 07:54:27 COR2B  543.88  602.38
 2013-05-25 08:00:05  C2    547.17   44.50
 2013-05-25 08:12:06  C2    551.00   51.50
 2013-05-25 08:24:00 COR2A 1480.25  599.75
 2013-05-25 08:24:05  C2    554.00   59.00
 2013-05-25 08:24:27 COR2B  554.25  620.62
 2013-05-25 08:39:00 COR2A 1468.35  609.60
 2013-05-25 08:54:00 COR2A 1456.25  618.85
 2013-05-25 08:54:27 COR2B  564.38  638.50
 2013-05-25 09:12:10  C2    569.00   90.50
 2013-05-25 09:24:00 COR2A 1432.25  638.20
 2013-05-25 09:24:05  C2    573.00   99.00
 2013-05-25 09:24:27 COR2B  574.00  657.50
 2013-05-25 09:36:05  C2    577.00  106.50
 2013-05-25 09:39:00 COR2A 1420.15  648.05
 2013-05-25 09:48:05  C2    580.17  114.83
 2013-05-25 09:54:00 COR2A 1407.95  657.85
 2013-05-25 09:54:27 COR2B  586.00  676.50
 2013-05-25 10:00:05  C2    583.50  122.67
 2013-05-25 10:12:05  C2    587.50  131.33
 2013-05-25 10:24:00 COR2A 1382.95  678.05
 2013-05-25 10:24:05  C2    591.33  138.83
 2013-05-25 10:24:27 COR2B  597.88  696.12
 2013-05-25 10:36:05  C2    594.50  148.00
 2013-05-25 10:39:00 COR2A 1370.45  688.30
 2013-05-25 10:48:05  C2    597.33  156.33
 2013-05-25 10:54:00 COR2A 1357.60  698.70
 2013-05-25 10:54:27 COR2B  609.62  715.38
 2013-05-25 11:00:06  C2    601.67  165.33
 2013-05-25 11:12:06  C2    605.00  173.17
 2013-05-25 11:24:00 COR2A 1332.00  719.60
 2013-05-25 11:24:05  C2    608.33  183.17
 2013-05-25 11:24:27 COR2B  622.88  735.12
 2013-05-25 11:39:00 COR2A 1319.30  729.85
 2013-05-25 11:48:06  C2    615.00  200.00
 2013-05-25 11:54:00 COR2A 1306.40  740.55
 2013-05-25 11:54:27 COR2B  636.50  755.88
 2013-05-25 12:00:05  C2    618.83  209.33
 2013-05-25 12:12:05  C2    621.50  218.50
 2013-05-25 12:24:00 COR2A 1279.65  762.35
 2013-05-25 12:24:27 COR2B  650.12  776.25
 2013-05-25 12:39:00 COR2A 1266.50  773.45
 2013-05-25 12:48:05  C2    631.83  246.33
 2013-05-25 12:54:00 COR2A 1252.80  784.50
 2013-05-25 12:54:27 COR2B  665.00  797.75
 2013-05-25 13:24:00 COR2A 1225.30  807.55
 2013-05-25 13:24:27 COR2B  681.50  819.62
 2013-05-25 13:25:49  C2    641.67  277.17
 2013-05-25 13:36:22  C2    644.33  286.50
 2013-05-25 13:39:00 COR2A 1211.10  819.25
 2013-05-25 13:48:05  C2    646.50  295.50
 2013-05-25 13:54:00 COR2A 1197.10  830.90
 2013-05-25 13:54:27 COR2B  697.38  841.75
 2013-05-25 14:00:05  C2    649.83  305.83
 2013-05-25 14:24:00 COR2A 1166.35  857.45
 2013-05-25 14:24:27 COR2B  712.88  860.62
