#SOHO-2574
#Discoverer: Schmalz, Sun
#Comet Group: kreutz
#Original Report: 2013-08-22 11:36:33
#    DATE     TIME    TEL    COL     ROW  
 2013-08-22 08:30:05  C3    895.58  279.17
 2013-08-22 08:42:06  C3    893.83  280.33
 2013-08-22 09:06:05  C3    892.17  282.00
 2013-08-22 09:18:05  C3    890.50  283.17
 2013-08-22 09:30:06  C3    888.58  284.50
 2013-08-22 09:42:05  C3    886.75  285.92
 2013-08-22 10:06:06  C3    885.17  287.33
 2013-08-22 10:30:05  C3    882.08  290.17
 2013-08-22 10:54:05  C3    879.58  292.50
 2013-08-22 11:18:05  C3    876.83  294.50
 2013-08-22 11:42:05  C3    873.58  296.83
 2013-08-22 12:06:05  C3    871.00  299.17
 2013-08-22 12:30:06  C3    867.92  301.17
 2013-08-22 12:54:05  C3    865.42  303.50
 2013-08-22 13:42:05  C3    859.58  308.42
 2013-08-22 14:06:05  C3    856.75  310.58
 2013-08-22 14:30:05  C3    853.75  313.00
 2013-08-22 15:06:05  C3    849.42  316.50
 2013-08-22 15:30:05  C3    845.75  319.17
 2013-08-22 15:54:05  C3    843.00  321.50
 2013-08-22 16:18:05  C3    839.58  323.92
 2013-08-22 16:42:06  C3    836.58  326.25
 2013-08-22 17:43:01  C3    828.17  333.00
 2013-08-22 18:06:05  C3    825.50  335.08
 2013-08-22 18:30:06  C3    821.75  338.17
 2013-08-22 18:54:06  C3    819.08  340.17
 2013-08-22 19:18:08  C3    815.67  342.83
 2013-08-22 19:42:05  C3    812.42  345.17
 2013-08-22 19:54:06  C3    810.83  346.83
 2013-08-22 20:18:06  C3    807.50  349.08
 2013-08-22 20:42:05  C3    803.75  352.08
 2013-08-22 21:32:38  C3    797.00  357.25
 2013-08-22 21:54:05  C3    793.92  359.92
 2013-08-22 22:18:06  C3    790.42  362.42
 2013-08-22 23:06:14  C3    783.33  367.83
 2013-08-22 23:30:05  C3    779.83  370.83
 2013-08-22 23:54:05  C3    775.75  373.58
 2013-08-23 00:18:05  C3    772.50  375.92
 2013-08-23 00:24:00 COR2A  227.05  372.80
 2013-08-23 00:42:05  C3    769.08  379.00
 2013-08-23 00:54:00 COR2A  239.08  388.92
 2013-08-23 01:24:00 COR2A  251.92  405.50
 2013-08-23 01:30:24  C3    761.25  384.67
 2013-08-23 01:54:00 COR2A  264.33  421.92
 2013-08-23 01:54:05  C3    757.17  387.75
 2013-08-23 02:24:00 COR2A  276.92  438.33
 2013-08-23 02:30:05  C3    751.33  391.83
 2013-08-23 02:54:00 COR2A  289.92  455.00
 2013-08-23 03:06:05  C3    745.42  396.67
 2013-08-23 03:24:00 COR2A  303.33  471.92
 2013-08-23 03:30:05  C3    741.17  399.83
 2013-08-23 03:53:59 COR2A  316.50  488.92
 2013-08-23 04:24:00 COR2A  330.33  506.08
 2013-08-23 04:32:48  C3    730.25  407.75
 2013-08-23 04:54:00 COR2A  344.00  523.08
 2013-08-23 04:54:06  C3    726.92  410.50
 2013-08-23 05:18:05  C3    722.17  413.67
 2013-08-23 05:24:00 COR2A  358.00  540.83
 2013-08-23 05:42:05  C3    718.33  416.67
 2013-08-23 05:54:00 COR2A  372.58  558.42
 2013-08-23 06:24:00 COR2A  387.42  576.42
 2013-08-23 06:30:05  C3    709.50  423.42
 2013-08-23 06:54:00 COR2A  402.17  594.00
 2013-08-23 07:24:00 COR2A  418.08  612.67
 2013-08-23 07:30:05  C3    697.50  431.67
 2013-08-23 07:54:00 COR2A  434.00  630.92
 2013-08-23 08:06:07  C3    690.58  436.83
 2013-08-23 08:24:00 COR2A  450.00  649.67
 2013-08-23 08:42:29  C3    683.25  442.42
 2013-08-23 08:54:00 COR2A  466.75  668.67
 2013-08-23 09:06:05  C3    678.50  445.92
 2013-08-23 09:24:00 COR2A  484.08  687.92
 2013-08-23 09:30:05  C3    672.83  449.58
 2013-08-23 09:42:06  C3    669.92  451.50
 2013-08-23 09:54:00 COR2A  502.17  707.83
 2013-08-23 10:24:00 COR2A  520.58  727.58
 2013-08-23 10:54:00 COR2A  539.50  747.67
 2013-08-23 11:24:00 COR2A  559.67  768.75
 2013-08-23 11:54:00 COR2A  580.92  790.17
 2013-08-23 12:24:00 COR2A  602.92  812.00
 2013-08-23 12:36:05  C2   1019.93  256.87
 2013-08-23 12:48:05  C2   1004.07  267.47
 2013-08-23 12:54:00 COR2A  625.83  834.17
 2013-08-23 13:24:00 COR2A  651.00  857.25
 2013-08-23 13:25:53  C2    952.67  302.27
 2013-08-23 13:36:22  C2    937.73  312.40
 2013-08-23 13:48:07  C2    920.73  323.67
 2013-08-23 13:54:00 COR2A  677.33  881.08
 2013-08-23 14:00:05  C2    903.73  334.87
 2013-08-23 14:12:05  C2    884.80  347.07
 2013-08-23 14:24:00 COR2A  707.17  906.50
 2013-08-23 14:24:05  C2    865.40  359.60
 2013-08-23 14:36:06  C2    846.07  372.07
 2013-08-23 14:48:05  C2    825.53  385.00
 2013-08-23 14:54:00 COR2A  739.58  932.58
 2013-08-23 15:24:00 COR2A  775.50  959.92
 2013-08-23 15:24:05  C2    760.47  424.80
 2013-08-23 15:36:05  C2    736.53  438.87
