#SOHO-2597
#Discoverer: S. Liwo
#Comet Group: kreutz
#Original Report: 2013-10-07 12:56:49
#    DATE     TIME    TEL    COL     ROW  
 2013-10-07 12:54:05  C3    896.47  199.20
 2013-10-07 13:30:22  C3    892.47  201.73
 2013-10-07 13:42:06  C3    890.60  203.40
 2013-10-07 13:54:05  C3    886.73  206.93
 2013-10-07 14:06:05  C3    886.33  206.40
 2013-10-07 14:18:05  C3    885.47  207.87
 2013-10-07 14:30:05  C3    883.93  208.93
 2013-10-07 14:42:05  C3    882.53  210.13
 2013-10-07 15:06:06  C3    878.47  212.67
 2013-10-07 15:18:05  C3    875.27  214.40
 2013-10-07 15:30:05  C3    874.40  215.13
 2013-10-07 15:42:07  C3    872.67  216.47
 2013-10-07 16:06:06  C3    868.47  219.47
 2013-10-07 16:30:07  C3    865.27  222.33
 2013-10-07 16:54:05  C3    861.80  224.33
 2013-10-07 17:18:05  C3    857.53  227.20
 2013-10-07 17:42:07  C3    854.40  229.60
 2013-10-07 18:06:06  C3    850.27  233.13
 2013-10-07 18:30:05  C3    846.80  235.00
 2013-10-07 18:54:06  C3    842.80  238.00
 2013-10-07 19:18:06  C3    838.93  241.13
 2013-10-07 19:42:05  C3    835.40  243.20
 2013-10-07 20:06:06  C3    831.53  245.87
 2013-10-07 20:30:06  C3    827.47  248.73
 2013-10-07 21:18:05  C3    820.07  253.80
 2013-10-07 21:42:05  C3    815.80  257.20
 2013-10-07 22:06:05  C3    811.93  259.93
 2013-10-07 22:30:06  C3    808.47  262.53
 2013-10-07 23:18:05  C3    801.00  267.93
 2013-10-07 23:42:06  C3    796.47  271.27
 2013-10-08 00:06:05  C3    792.40  274.33
 2013-10-08 00:30:05  C3    788.73  276.87
 2013-10-08 00:54:05  C3    784.60  279.87
 2013-10-08 01:42:06  C3    776.73  285.73
 2013-10-08 02:06:05  C3    772.80  288.47
 2013-10-08 02:18:06  C3    770.53  290.20
 2013-10-08 02:42:05  C3    766.60  292.87
 2013-10-08 03:18:05  C3    760.40  297.60
 2013-10-08 03:42:05  C3    756.27  300.33
 2013-10-08 04:06:05  C3    752.27  303.40
 2013-10-08 04:30:07  C3    747.93  306.53
 2013-10-08 04:54:06  C3    743.47  309.40
 2013-10-08 05:06:05  C3    741.33  311.13
 2013-10-08 05:30:05  C3    737.53  314.00
 2013-10-08 05:54:05  C3    732.87  317.07
 2013-10-08 06:18:05  C3    728.73  320.27
 2013-10-08 06:42:05  C3    724.47  323.53
 2013-10-08 07:06:07  C3    719.87  326.60
 2013-10-08 07:30:05  C3    715.53  329.93
 2013-10-08 08:18:05  C3    706.87  335.73
 2013-10-08 08:42:05  C3    702.00  339.80
 2013-10-08 09:18:05  C3    695.53  344.13
 2013-10-08 09:42:05  C3    690.87  347.80
 2013-10-08 10:06:07  C3    686.20  351.00
 2013-10-08 10:30:07  C3    681.67  354.27
 2013-10-08 10:54:06  C3    676.87  357.93
 2013-10-08 11:18:06  C3    672.27  361.33
 2013-10-08 11:42:06  C3    667.47  364.67
 2013-10-08 12:06:06  C3    662.53  368.33
 2013-10-08 12:30:05  C3    657.93  372.07
 2013-10-08 12:54:00 COR2A  271.17  598.83
 2013-10-08 12:54:06  C3    652.87  375.60
 2013-10-08 13:24:00 COR2A  302.67  617.83
 2013-10-08 13:42:05  C3    642.67  382.93
 2013-10-08 13:54:00 COR2A  327.00  633.83
 2013-10-08 14:06:05  C3    637.60  386.67
 2013-10-08 14:24:00 COR2A  353.67  649.67
 2013-10-08 14:30:07  C3    632.47  390.40
 2013-10-08 14:54:00 COR2A  378.33  667.33
 2013-10-08 15:06:05  C3    624.47  396.07
 2013-10-08 15:24:00 COR2A  405.83  685.50
 2013-10-08 15:30:05  C3    619.40  399.93
 2013-10-08 15:54:00 COR2A  438.33  705.33
 2013-10-08 16:00:06  C2   1013.81  105.69
 2013-10-08 16:12:05  C2   1001.44  115.06
 2013-10-08 16:24:00 COR2A  458.67  721.83
 2013-10-08 16:24:05  C2    988.31  125.00
 2013-10-08 16:36:07  C2    975.31  135.00
 2013-10-08 16:48:05  C2    962.38  144.81
 2013-10-08 16:54:00 COR2A  489.67  740.67
 2013-10-08 17:00:06  C2    949.25  154.88
 2013-10-08 17:12:05  C2    936.00  165.06
 2013-10-08 17:24:05  C2    922.44  175.38
 2013-10-08 17:36:05  C2    909.38  185.44
 2013-10-08 17:48:06  C2    895.69  195.81
 2013-10-08 17:54:00 COR2A  549.50  780.00
 2013-10-08 18:00:05  C2    882.12  206.38
 2013-10-08 18:12:05  C2    868.25  216.94
 2013-10-08 18:24:00 COR2A  580.50  798.50
 2013-10-08 18:24:05  C2    854.62  227.38
 2013-10-08 18:36:06  C2    840.44  238.31
 2013-10-08 18:48:05  C2    825.81  249.69
 2013-10-08 19:00:05  C2    811.88  260.69
 2013-10-08 19:12:05  C2    797.25  272.00
 2013-10-08 19:24:05  C2    783.44  282.81
