#SOHO-2670
#Discoverer: P. Sun
#Comet Group: kreutz
#Original Report: 2014-03-01 01:34:15
#    DATE     TIME    TEL    COL     ROW  
 2014-03-01 02:18:05  C3     76.75  237.83
 2014-03-01 02:30:05  C3     78.42  239.00
 2014-03-01 02:42:06  C3     80.25  240.17
 2014-03-01 03:06:05  C3     83.25  242.75
 2014-03-01 03:18:05  C3     85.33  243.83
 2014-03-01 03:30:05  C3     87.17  245.33
 2014-03-01 03:42:06  C3     88.42  246.08
 2014-03-01 04:06:05  C3     92.08  248.83
 2014-03-01 04:30:05  C3     95.17  251.58
 2014-03-01 04:54:05  C3     98.50  254.17
 2014-03-01 05:18:05  C3    101.50  256.33
 2014-03-01 05:42:05  C3    105.33  259.33
 2014-03-01 06:06:05  C3    108.67  261.50
 2014-03-01 06:30:05  C3    112.08  263.83
 2014-03-01 06:54:05  C3    115.58  266.67
 2014-03-01 07:18:05  C3    119.08  269.08
 2014-03-01 07:42:05  C3    122.50  271.67
 2014-03-01 08:06:05  C3    125.75  274.42
 2014-03-01 08:30:05  C3    129.42  276.83
 2014-03-01 09:06:05  C3    135.00  281.00
 2014-03-01 09:30:05  C3    138.33  283.42
 2014-03-01 09:54:05  C3    142.00  286.33
 2014-03-01 10:18:05  C3    145.42  288.67
 2014-03-01 10:42:05  C3    149.00  291.50
 2014-03-01 11:06:05  C3    152.75  294.08
 2014-03-01 11:30:05  C3    156.42  296.50
 2014-03-01 11:54:05  C3    159.58  299.33
 2014-03-01 12:18:06  C3    163.50  301.92
 2014-03-01 12:42:05  C3    167.50  304.67
 2014-03-01 13:30:31  C3    174.50  309.92
 2014-03-01 13:54:06  C3    178.42  312.75
 2014-03-01 14:18:05  C3    181.92  315.50
 2014-03-01 14:42:05  C3    185.58  318.17
 2014-03-01 15:18:05  C3    191.33  322.50
 2014-03-01 15:42:05  C3    195.00  325.08
 2014-03-01 16:06:05  C3    198.92  328.00
 2014-03-01 16:30:05  C3    203.00  330.83
 2014-03-01 16:54:05  C3    207.00  333.67
 2014-03-01 17:18:05  C3    210.92  336.25
 2014-03-01 17:54:05  C3    216.58  340.83
 2014-03-01 18:30:05  C3    222.50  344.92
 2014-03-01 19:06:05  C3    228.75  349.50
 2014-03-01 19:42:05  C3    234.83  353.92
 2014-03-01 20:06:05  C3    238.67  356.75
 2014-03-01 20:30:05  C3    242.75  359.83
 2014-03-01 21:30:06  C3    253.00  367.00
 2014-03-01 21:54:05  C3    257.42  370.33
 2014-03-01 22:18:05  C3    261.50  373.42
 2014-03-01 22:30:05  C3    263.83  374.83
 2014-03-01 22:54:54 COR2B 1862.75  463.50
 2014-03-01 23:18:05  C3    272.58  381.08
 2014-03-01 23:24:54 COR2B 1842.67  478.50
 2014-03-01 23:30:05  C3    274.67  382.67
 2014-03-01 23:54:00 COR2A 1887.40  457.10
 2014-03-01 23:54:05  C3    279.42  385.83
 2014-03-01 23:54:54 COR2B 1822.33  492.08
 2014-03-02 00:18:05  C3    283.58  388.92
 2014-03-02 00:24:00 COR2A 1869.60  472.47
 2014-03-02 00:24:54 COR2B 1801.83  506.17
 2014-03-02 00:42:06  C3    288.25  392.08
 2014-03-02 00:54:00 COR2A 1853.17  486.75
 2014-03-02 00:54:54 COR2B 1780.00  521.00
 2014-03-02 01:24:00 COR2A 1837.42  502.00
 2014-03-02 01:24:54 COR2B 1759.25  535.67
 2014-03-02 01:30:27  C3    297.25  398.67
 2014-03-02 01:54:00 COR2A 1819.75  517.75
 2014-03-02 01:54:05  C3    301.83  401.92
 2014-03-02 01:54:54 COR2B 1738.08  550.42
 2014-03-02 02:18:05  C3    306.50  405.08
 2014-03-02 02:24:00 COR2A 1802.25  533.17
 2014-03-02 02:24:54 COR2B 1717.50  565.67
 2014-03-02 02:42:05  C3    311.42  408.50
 2014-03-02 02:54:00 COR2A 1785.00  549.08
 2014-03-02 02:54:54 COR2B 1695.17  580.00
 2014-03-02 03:18:05  C3    318.50  413.33
 2014-03-02 03:24:00 COR2A 1766.42  564.83
 2014-03-02 03:24:54 COR2B 1672.83  596.00
 2014-03-02 03:42:05  C3    323.50  417.25
 2014-03-02 03:54:00 COR2A 1748.67  581.17
 2014-03-02 03:54:54 COR2B 1648.75  612.58
