#SOHO-3668
#Discoverer: H. Tan
#Comet Group: kreutz
#Original Report: 2018-12-09 10:48:36
#    DATE     TIME    TEL    COL     ROW  
 2018-12-08 22:09:01 HI1A    53.00  345.00
 2018-12-08 22:49:01 HI1A    47.00  347.00
 2018-12-08 23:29:01 HI1A    43.00  349.00
 2018-12-09 00:09:01 HI1A    38.00  354.00
 2018-12-09 00:49:01 HI1A    34.00  357.00
 2018-12-09 01:29:01 HI1A    28.00  361.00
 2018-12-09 02:09:01 HI1A    23.00  364.00
 2018-12-09 02:49:01 HI1A    18.00  370.00
 2018-12-09 03:29:01 HI1A    13.00  371.00
 2018-12-09 04:09:01 HI1A     7.00  376.00
 2018-12-09 04:49:01 HI1A     1.00  381.00
 2018-12-09 11:24:07  C2    244.00   15.00
 2018-12-09 11:36:07  C2    242.00   27.00
 2018-12-09 11:48:07  C2    242.00   34.00
 2018-12-09 12:00:05  C2    241.00   46.00
 2018-12-09 12:12:07  C2    242.00   55.00
 2018-12-09 12:24:08  C2    240.00   64.00
 2018-12-09 12:36:07  C2    241.00   75.00
 2018-12-09 12:48:07  C2    239.00   85.00
