#SOHO-3847
#Discoverer: B. Ball
#Comet Group: kreutz
#Original Report: 2019-11-02 07:07:07
#    DATE     TIME    TEL    COL     ROW  
 2019-10-31 21:29:01 HI1A    42.24  331.12
 2019-10-31 22:49:01 HI1A    34.14  337.33
 2019-10-31 23:29:01 HI1A    30.35  340.60
 2019-11-01 00:09:01 HI1A    26.21  345.26
 2019-11-01 00:49:01 HI1A    22.07  346.98
 2019-11-01 01:29:01 HI1A    17.24  351.29
 2019-11-01 02:09:01 HI1A    14.48  355.26
 2019-11-01 02:49:01 HI1A    11.04  359.57
 2019-11-01 03:29:01 HI1A     6.55  364.22
 2019-11-01 04:09:01 HI1A     3.11  368.02
 2019-11-01 08:00:08  C2    808.33    7.19
 2019-11-01 08:12:07  C2    799.39   16.71
 2019-11-01 08:24:07  C2    790.57   26.64
 2019-11-01 08:48:07  C2    772.35   45.92
 2019-11-01 09:12:12  C2    753.27   66.16
 2019-11-01 09:24:19  C2    744.39   76.21
 2019-11-01 09:36:07  C2    735.46   86.60
 2019-11-01 09:48:07  C2    725.64   96.77
 2019-11-01 10:00:07  C2    716.65  107.17
 2019-11-01 10:24:07  C2    697.26  128.69
 2019-11-01 10:36:07  C2    687.27  139.03
 2019-11-01 11:14:00  C2    656.19  175.01
 2019-11-01 11:23:30  C2    648.02  184.19
 2019-11-01 11:36:07  C2    637.56  196.22
 2019-11-01 11:48:07  C2    627.58  208.23
 2019-11-01 12:00:09  C2    617.77  220.14
 2019-11-01 12:12:07  C2    607.72  231.89
