#SOHO-3867
#Discoverer: W. Boonplod
#Comet Group: kreutz
#Original Report: 2019-11-25 20:05:24
#    DATE     TIME    TEL    COL     ROW  
 2019-11-25 02:09:01 HI1A   262.11  199.23
 2019-11-25 02:49:01 HI1A   258.50  202.78
 2019-11-25 03:29:01 HI1A   254.59  205.72
 2019-11-25 04:09:01 HI1A   252.18  207.41
 2019-11-25 04:49:01 HI1A   249.06  209.70
 2019-11-25 05:29:01 HI1A   247.13  211.92
 2019-11-25 06:09:01 HI1A   242.74  214.15
 2019-11-25 06:49:01 HI1A   238.17  217.28
 2019-11-25 07:29:01 HI1A   234.01  219.50
 2019-11-25 08:09:01 HI1A   230.95  222.27
 2019-11-25 08:49:01 HI1A   227.76  224.20
 2019-11-25 09:29:01 HI1A   224.33  227.69
 2019-11-25 10:09:00 HI1A   220.84  229.19
 2019-11-25 10:49:01 HI1A   216.87  232.44
 2019-11-25 11:29:01 HI1A   214.75  233.56
 2019-11-25 12:09:01 HI1A   210.42  237.41
 2019-11-25 12:49:01 HI1A   206.57  240.18
 2019-11-25 13:29:01 HI1A   202.60  242.82
 2019-11-25 14:09:01 HI1A   198.81  245.47
 2019-11-25 14:49:01 HI1A   195.08  247.52
 2019-11-25 15:29:01 HI1A   191.65  250.89
 2019-11-25 16:09:01 HI1A   187.44  253.29
 2019-11-25 16:49:01 HI1A   183.65  255.64
 2019-11-25 17:29:01 HI1A   179.98  258.65
 2019-11-25 18:09:01 HI1A   176.07  261.66
 2019-11-25 18:49:01 HI1A   172.03  264.12
 2019-11-25 19:29:01 HI1A   167.35  267.36
 2019-11-25 19:30:06  C3    629.05  182.73
 2019-11-25 19:42:05  C3    628.19  184.61
 2019-11-25 19:54:06  C3    627.03  186.49
 2019-11-25 20:06:05  C3    626.74  187.58
 2019-11-25 20:18:05  C3    626.02  188.66
 2019-11-25 20:30:05  C3    625.00  190.32
 2019-11-25 20:49:01 HI1A   160.01  272.89
 2019-11-25 21:18:05  C3    621.03  196.18
 2019-11-25 21:29:01 HI1A   156.09  275.30
 2019-11-25 21:30:05  C3    619.87  198.28
 2019-11-25 21:42:05  C3    618.93  199.94
 2019-11-25 21:54:05  C3    617.85  201.31
 2019-11-25 22:06:05  C3    616.91  203.34
 2019-11-25 22:09:01 HI1A   151.52  278.37
 2019-11-25 22:18:05  C3    615.97  204.28
 2019-11-25 22:30:05  C3    614.66  206.08
 2019-11-25 22:49:01 HI1A   147.25  281.43
 2019-11-25 23:06:14  C3    612.86  210.28
 2019-11-25 23:18:06  C3    611.85  211.72
 2019-11-25 23:29:01 HI1A   143.10  284.56
 2019-11-25 23:30:05  C3    610.98  213.39
 2019-11-25 23:42:05  C3    609.89  214.83
 2019-11-25 23:54:06  C3    608.81  216.93
 2019-11-26 00:06:05  C3    607.94  218.09
 2019-11-26 00:09:01 HI1A   138.65  287.57
 2019-11-26 00:18:05  C3    606.64  219.75
 2019-11-26 00:30:06  C3    605.99  220.91
 2019-11-26 00:42:05  C3    604.98  222.35
