#SOHO-3869
#Discoverer: Z. Xu
#Comet Group: kreutz
#Original Report: 2019-11-27 11:23:44
#    DATE     TIME    TEL    COL     ROW  
 2019-11-27 02:49:01 HI1A    44.32  345.01
 2019-11-27 03:29:01 HI1A    39.50  348.47
 2019-11-27 04:09:01 HI1A    30.86  353.00
 2019-11-27 04:49:01 HI1A    26.40  356.67
 2019-11-27 05:29:01 HI1A    19.56  361.92
 2019-11-27 06:09:01 HI1A    13.94  365.81
 2019-11-27 06:49:01 HI1A     8.19  370.20
 2019-11-27 07:29:01 HI1A     3.29  372.72
 2019-11-27 15:05:47  C2    394.84   18.30
 2019-11-27 15:16:24  C2    392.55   27.37
 2019-11-27 15:27:01  C2    389.81   35.44
 2019-11-27 15:37:39  C2    386.92   44.86
 2019-11-27 15:48:16  C2    383.68   53.96
 2019-11-27 16:00:05  C2    381.14   64.53
 2019-11-27 16:12:05  C2    377.90   74.79
 2019-11-27 16:24:05  C2    374.76   84.46
 2019-11-27 16:36:05  C2    370.85   95.28
