#SOHO-3874
#Discoverer: T. Prestgard
#Comet Group: kreutz
#Original Report: 2019-12-02 02:40:12
#    DATE     TIME    TEL    COL     ROW  
 2019-12-01 14:09:01 HI1A    46.47  347.93
 2019-12-01 14:49:01 HI1A    39.59  352.98
 2019-12-01 15:29:01 HI1A    33.87  356.88
 2019-12-01 16:09:01 HI1A    28.15  361.11
 2019-12-01 16:49:01 HI1A    21.11  365.50
 2019-12-01 17:29:01 HI1A    12.98  371.80
 2019-12-01 18:09:01 HI1A     7.93  374.70
 2019-12-01 18:49:01 HI1A     0.97  378.10
 2019-12-02 01:36:18  C2    311.81    6.74
 2019-12-02 01:48:07  C2    309.28   15.84
 2019-12-02 02:00:09  C2    307.21   25.98
 2019-12-02 02:12:07  C2    305.88   34.91
 2019-12-02 02:24:08  C2    304.09   45.80
 2019-12-02 02:36:07  C2    302.77   55.53
 2019-12-02 02:48:07  C2    300.06   64.53
 2019-12-02 03:12:13  C2    296.49   83.65
 2019-12-02 03:24:07  C2    293.44   95.17
