#SOHO-4056
#Discoverer: J. Liu, P. sun
#Comet Group: kreutz
#Original Report: 2020-08-25 18:02:11
#    DATE     TIME    TEL    COL     ROW  
 2020-08-25 20:06:07  C3    959.16  166.76
 2020-08-25 20:18:07  C3    958.25  167.80
 2020-08-25 20:30:07  C3    957.08  168.97
 2020-08-25 20:42:07  C3    956.16  169.76
 2020-08-25 21:30:07  C3    951.08  174.06
 2020-08-25 21:42:07  C3    950.16  174.85
 2020-08-25 21:54:07  C3    948.34  176.02
 2020-08-25 22:06:07  C3    947.16  177.06
 2020-08-25 22:18:07  C3    945.99  177.98
 2020-08-25 22:30:08  C3    944.68  179.15
 2020-08-25 23:06:15  C3    940.38  182.80
 2020-08-25 23:18:07  C3    938.94  183.85
 2020-08-25 23:30:07  C3    937.77  185.15
 2020-08-25 23:42:07  C3    936.46  186.20
 2020-08-25 23:54:08  C3    935.03  186.98
 2020-08-26 00:06:07  C3    933.20  188.67
 2020-08-26 00:18:07  C3    933.20  189.20
 2020-08-26 00:30:07  C3    931.38  190.11
 2020-08-26 00:42:07  C3    929.81  191.15
 2020-08-26 00:54:07  C3    928.77  192.20
 2020-08-26 04:54:07  C3    901.50  214.11
 2020-08-26 05:06:07  C3    899.81  215.29
 2020-08-26 05:18:07  C3    898.11  216.59
 2020-08-26 05:30:08  C3    896.80  217.77
 2020-08-26 05:42:07  C3    895.63  218.81
 2020-08-26 05:54:07  C3    894.07  220.12
 2020-08-26 06:06:07  C3    892.37  221.03
 2020-08-26 06:18:07  C3    891.46  221.94
 2020-08-26 06:30:07  C3    890.15  223.25
 2020-08-26 06:42:08  C3    888.19  224.68
 2020-08-26 06:54:07  C3    886.76  225.72
 2020-08-26 07:06:07  C3    885.59  226.90
 2020-08-26 07:18:07  C3    884.02  228.07
 2020-08-26 07:30:07  C3    882.45  229.25
 2020-08-26 07:42:07  C3    881.41  230.03
 2020-08-26 07:54:00 COR2A 1363.63   58.82
 2020-08-26 07:54:07  C3    879.71  231.47
 2020-08-26 08:06:07  C3    878.15  232.77
 2020-08-26 08:18:07  C3    876.71  233.94
 2020-08-26 08:24:00 COR2A 1364.03   68.82
 2020-08-26 08:30:08  C3    875.54  234.86
 2020-08-26 08:39:00 COR2A 1364.03   73.82
 2020-08-26 08:42:07  C3    873.97  236.29
 2020-08-26 08:54:00 COR2A 1365.23   79.02
 2020-08-26 09:06:07  C3    870.71  238.77
 2020-08-26 09:18:07  C3    869.15  239.94
 2020-08-26 09:24:00 COR2A 1365.43   88.62
 2020-08-26 09:30:08  C3    867.71  240.99
 2020-08-26 09:39:00 COR2A 1366.23   94.22
 2020-08-26 09:54:00 COR2A 1367.03   98.82
 2020-08-26 09:54:07  C3    865.23  242.95
 2020-08-26 10:06:07  C3    863.15  244.20
 2020-08-26 10:18:07  C3    861.98  245.12
 2020-08-26 10:24:00 COR2A 1367.23  110.01
 2020-08-26 10:30:07  C3    860.28  246.81
 2020-08-26 10:39:00 COR2A 1367.83  114.61
 2020-08-26 10:54:00 COR2A 1367.63  120.21
 2020-08-26 10:54:07  C3    857.74  248.88
 2020-08-26 11:06:07  C3    855.59  250.27
 2020-08-26 11:18:07  C3    854.14  251.66
 2020-08-26 11:24:00 COR2A 1368.83  130.81
 2020-08-26 11:30:08  C3    852.88  252.92
 2020-08-26 11:39:00 COR2A 1368.83  136.01
 2020-08-26 11:42:07  C3    851.37  253.93
 2020-08-26 11:54:00 COR2A 1369.43  141.21
 2020-08-26 11:54:08  C3    849.98  255.00
 2020-08-26 12:06:07  C3    848.15  256.51
 2020-08-26 12:18:07  C3    846.26  258.02
 2020-08-26 12:24:00 COR2A 1369.83  151.60
 2020-08-26 12:30:07  C3    845.06  258.84
 2020-08-26 12:39:00 COR2A 1369.83  157.20
 2020-08-26 12:42:07  C3    843.49  260.04
