#SOHO-4086
#Discoverer: M. Biesiada
#Comet Group: kreutz
#Original Report: 2020-11-07 05:17:45
#    DATE     TIME    TEL    COL     ROW  
 2020-11-06 16:49:01 HI1A    49.09  338.44
 2020-11-06 17:29:01 HI1A    45.20  342.71
 2020-11-06 18:09:01 HI1A    38.79  346.35
 2020-11-06 18:49:01 HI1A    31.76  351.12
 2020-11-06 19:29:01 HI1A    25.86  354.64
 2020-11-06 20:09:01 HI1A    21.21  358.54
 2020-11-06 20:49:01 HI1A    16.56  362.05
 2020-11-06 21:29:01 HI1A    10.53  366.20
 2020-11-06 22:09:01 HI1A     3.50  370.72
 2020-11-07 06:00:07  C2    666.52    9.62
 2020-11-07 06:12:07  C2    659.37   19.27
 2020-11-07 06:24:07  C2    652.32   29.04
 2020-11-07 06:36:07  C2    644.37   39.38
 2020-11-07 06:48:07  C2    636.99   49.26
 2020-11-07 07:00:09  C2    628.92   59.03
 2020-11-07 07:12:07  C2    621.77   69.93
 2020-11-07 07:36:07  C2    607.77   88.32
 2020-11-07 07:48:07  C2    601.18   99.34
 2020-11-07 08:00:07  C2    593.34  109.57
