#SOHO-4094
#Discoverer: R. Biros
#Comet Group: kreutz
#Original Report: 2020-11-13 03:26:56
#    DATE     TIME    TEL    COL     ROW  
 2020-11-12 18:49:01 HI1A    63.23  343.33
 2020-11-12 19:29:01 HI1A    56.38  346.23
 2020-11-12 20:09:01 HI1A    51.05  349.12
 2020-11-12 20:49:01 HI1A    45.57  352.92
 2020-11-12 21:29:01 HI1A    39.64  357.34
 2020-11-12 22:09:01 HI1A    32.94  361.29
 2020-11-12 22:49:01 HI1A    28.22  363.73
 2020-11-12 23:29:01 HI1A    21.68  368.45
 2020-11-13 00:09:01 HI1A    15.44  372.10
 2020-11-13 00:49:01 HI1A     9.19  377.28
 2020-11-13 01:29:01 HI1A     0.52  381.69
 2020-11-13 07:48:07  C2    527.72    1.06
 2020-11-13 08:00:07  C2    521.54    9.03
 2020-11-13 08:12:07  C2    515.66   18.68
 2020-11-13 08:24:07  C2    510.42   27.91
 2020-11-13 08:48:28  C2    499.09   46.26
 2020-11-13 09:12:12  C2    488.08   64.72
 2020-11-13 09:24:23  C2    482.73   73.95
 2020-11-13 09:36:07  C2    476.96   83.29
 2020-11-13 09:48:07  C2    471.82   92.94
 2020-11-13 10:00:07  C2    466.47  101.54
