#SOHO-4096
#Discoverer: Liwo, Biesiada
#Comet Group: kreutz
#Original Report: 2020-11-14 14:16:20
#    DATE     TIME    TEL    COL     ROW  
 2020-11-14 04:09:01 HI1A    61.71  328.87
 2020-11-14 04:49:01 HI1A    56.53  332.83
 2020-11-14 05:29:01 HI1A    52.42  334.96
 2020-11-14 06:09:01 HI1A    47.86  338.61
 2020-11-14 06:49:01 HI1A    40.25  343.94
 2020-11-14 07:29:01 HI1A    34.46  346.83
 2020-11-14 08:09:01 HI1A    30.35  350.33
 2020-11-14 08:49:01 HI1A    23.81  354.14
 2020-11-14 09:29:01 HI1A    17.41  358.71
 2020-11-14 10:09:01 HI1A    11.48  362.82
 2020-11-14 10:49:01 HI1A     4.48  367.38
 2020-11-14 19:00:07  C2    574.74    5.05
 2020-11-14 19:12:09  C2    568.67   14.21
 2020-11-14 19:24:07  C2    562.06   23.70
 2020-11-14 19:36:08  C2    556.31   33.60
 2020-11-14 19:48:07  C2    550.56   44.37
 2020-11-14 20:00:07  C2    544.06   53.95
 2020-11-14 20:12:08  C2    537.98   63.97
 2020-11-14 20:24:07  C2    532.34   74.20
 2020-11-14 20:36:07  C2    526.16   84.43
 2020-11-14 20:48:07  C2    519.87   94.87
 2020-11-14 21:12:13  C2    508.19  115.52
